#,Status,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
10,Pending,Feature,Normal, would be nice if visit could accept pre-computed MIR from DB ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 05:35 pm,,,,2.12.3,5 - Very High,4 - Common,All,DOE/ASC,"
cq-id: VisIt00003876cq-submitter: Mark Millercq-submit-date: 10/09/03
The SAMRAI folks are beginning work on their own MIR algorithms whichthey will be using within their code. They'll need to debug it andwould like to visualize the MIR as they computed it, not as VisItwould.
There are multiple approache here. Some involve exchange of code thatcomputes the MIR. Another approach is to allow for the pre-computedMIR to be stored to the database. This might be possible withoutmodifying Silo. Here is the basic idea.
The original mesh is simply a zoo of elements (for QuadMesh's its azoo of size 1). The pre-computed MIR has the effect of NOT changingany elements that are clean and introducing a tiny zoo of elements onany elements that are mixing. In theory, a data-producer could make aUCD mesh (or several of them) consiting of the union of all the newelements introduced by MIR. It would be a funny mesh in that it wouldbe approx 1 original-mesh-zone thick and wind around the 3D volumefollowing the MIR boundaries. But it would nonetheless be an objectSilo currently supports. The only additional bit of information thatmight be useful is to define a UCDVar on the MIR mesh that identifiedthe original-mesh-zone id from which the newly introduced zones comefrom.
Given this information in the file, VisIt would then offer an optionof either computing its own MIR or using the one thats there.
"
12,Rejected,Bug,Normal, should report bad CL options and exit ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:09 pm,07/06/2010 09:18 pm,3 - Occasional,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00004378cq-submitter: Mark Millercq-submit-date: 01/27/04
I have inadvertently given visit bad command-line arguments on many occasions. However, it neither reports this to me nor fails to start because of them. Maybe I want to collect some debug logs and pass '-debg 5'. Only after I have run visit do I realize I've spelled it wrong.
Visit should check all command-line arguments and fail to start of it doesn't recognize any.
MCM -- 25Jan06 -- Scoring Rationale-----------------------------------I rated seriousness as ""crash/wrong results"" because prior to correcting a specific issue with '-timeout' CL option to engine, the viewer could indeed crash as a result of a missing arg. I haven't tested possibility of this happening for other CL options.
"
13,Pending,Bug,Normal, slice and clip filters do not preserve ghost node information ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,,4 - Common,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00007613cq-submitter: Mark Millercq-submit-date: 12/04/06
I rated this as common becuase with the recent change to Mili plugin (which we maybe should back of off), we'll have a lot of meshes with ghost nodes.
Open m_plot.miliPut up mesh plot of mesh1_no_free_nodes.Go to last timestep.Slice it. Now, you see contributions to themesh from ghost nodes.
"
14,Pending,Bug,Normal, Expressions involving mixed-scalars do not return results that are also mixed. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,,2 - Rare,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00007394cq-submitter: Brad Whitlockcq-submit-date: 07/26/06
Added, HRC, 3/18/07:Here is a reproducer.Open up ~whitlocb/data/zzzz00000.silo.  Make an expression called ""ratio"" that is defined as ""den/p"".  Both den and p are mixed.  Turn on ""Force interface reconstruction"". You can see that ratio is also getting defined as mixed.Now pick on ratio.  It returns a single value for the zone.
"
15,Expired,Bug,Normal, Problem looking at subset of domains when material selected. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,11/15/2018 05:47 pm,3 - Occasional,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00005235cq-submitter: Hank Childscq-submit-date: 07/22/04
Open up balls.exodus Make a subset plot of File.Draw.
Fine and good.
Now bring up the SIL window and remove Element Blocks 1,2and 3.
Click apply.You get the error message:Subset (BadIndexException):  Tried to access an invalid index -1 (Maximum = 3).
"
16,Pending,Bug,Normal, Synchronization issue between GUI and CLI with opened databases. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,,4 - Common,3 - Major Irritation,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00007022cq-submitter: Hank Childscq-submit-date: 02/14/06
If I start up the GUI, and then launch a CLI, and then invokea script that does:OpenDatabase(""/usr/gapps/visit/data/curv2d.silo"")AddPlot(""Pseudocolor"", ""d"")DrawPlots()
Then the GUI's ""Open"" button says ""ReOpen"".  But ReOpen doesnothing.  I would expect that it says Open and doesn't understandthat curv2d is the currently open file.  Or I would expect forReOpen to reopen curv2d.
Ideally, curv2d.silo would have been added to the selected fileslist, but that may be a tall order.
Added, HRC, 3/3/06:Kevin Roe called in a more serious form of this ticket.He would like for the file to show up in the selectedfiles list.
"
17,Pending,Bug,Normal, Choose center on pointvar may hang viewer. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,,2 - Rare,5 - Very Serious,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00007035cq-submitter: Eric Bruggercq-submit-date: 02/17/06
Here is the description from Jeremy Meredith.
- Open noise.silo- PC plot of PointVar- Click choose center in the toolbar- attempt to click in the window, and it says you didnt click on a plot.- Click choose center in the toolbar again- NOW it complains that it doesnt have everything it needs to pick.  (strange why not the first time?)- so it starts executing the plot, turning it yellow, and never finishes.
So this one winds up hanging the viewer, spinning at 100% CPU utilization.  Again, Im not particularly interested in a fix, but I thought it should be reported.
"
18,Pending,Bug,Normal, Movie script does not handle case where a viewport does not have sequences. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,,2 - Rare,3 - Major Irritation,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00007844cq-submitter: Brad Whitlockcq-submit-date: 03/01/07
Al Nichols was using the new movie template code in VisIt and he created a 2x2 viewport layout but only mapped sequences to viewports 0,1,2 and not to 3. The movie script chugged through generating images for the first 3 viewports and died on the 4th since it had no sequences. It probably died in the compositing phase of the script.
The movie script should be fixed so it can handle viewports with no sequences.
Al's work-around was to create a custom viewport mapping with 3 viewports
"
19,Pending,Bug,Normal, Localized compactness factor failing in parallel ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,,2 - Rare,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00007930cq-submitter: Hank Childscq-submit-date: 03/27/07
Testing every VisIt query in parallel with a sil selection that left processors with no data, the localized compactness factor query caused the engine to crash.  So we should fix up this query.
"
20,Pending,Bug,Normal, We're too heavy handed at invalidating plots ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,,3 - Occasional,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00007616cq-submitter: Mark Millercq-submit-date: 12/05/06
A user spent a lot of time (several hours) getting a series of queries over time into a VisIt window. He had several curves there generated throughout the morning.
Then, he accidentally tried to add a PC plot of a mesh variable to the window with the curves in it. That operation threw an exception (plot dimensions don't match or something like that) and then promptly invalidated all his time curves. They were gone for good.
First, we probably should not be invalidating existing plots because a new plot was not valid. Second, what can we do to protect users against this loss of information, particular long operations such as queries over time?
This user has since taken to exporting dbs after he generates his time curves.
MCM -- Added 08Jan07--------------------The narrative above was taken verbatim from a conversation with the user. While I have been UNABLE to reproduce this specific behavior, I have been ABLE to reproduce a behavior just as bad by instead of ""...accidentally adding a pc plot..."" accidentally applying a slice operator.
Open wave*.silo. Put up a pc plot of pressure.Bring up pick attributes.Select ""create time curve on next pick,"" hit apply.Do a NODE pick. The curve is generated.Now, add a slice operator to window 2.The time curve plot is invalidated and there isno way to recover it.
"
21,Pending,Bug,Normal, Bug with protected/public access in attribute groups ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:13 pm,,3 - Occasional,3 - Major Irritation,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00007993cq-submitter: Kathleen S. Bonnellcq-submit-date: 04/26/07

From Jeremy Meredith:

When generating an attribute subject from an XML file, it looks thereare a couple problems with the code generated for fields when usingaccess settings other than ""private"".  I believe you can expose this bymaking an XML file with a single float field, setting its access toeither ""protected"" or ""public"", and trying to compile.
For ""protected"", I would still expect the Set/Get methods to getgenerated, because there's no other way for external clients of theclass to set/get their valuyes.  (In fact, should protected be thedefault instead of private?  I tend to use protected members more oftenthan private in general.)
As for ""public"", I'm not sure how to Select() the field for notificationwithout using Set/Get, but I suppose that's up to the client.  (That'sthe downside of public members to begin with, so maybe that's not aconcern.)
But whether or not the Set/Get functions are generated, it looks likethe SetFromNode function is still calling the Set method, which leads toa compilation error.  (CreateNode does not seem to use the Get method,however.)  At the very least, for public members (and maybe protected ifwe decide they shouldn't have Get/Set functions) members, SetFromNodeshouldn't use the Set function.
"
22,Pending,Bug,Normal," Treat all DBs as time varying adversely affecting ""-o file"" ",-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:14 pm,,3 - Occasional,3 - Major Irritation,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008432cq-submitter: Hank Childscq-submit-date: 01/08/08
I think this is a potential new bug in V1.8.0.
Blow away your configs.  Start up VisIt and turn on ""Treat all DBs as time varying"".  Save and exit.
Now start up VisIt as ""visit -o /path/to/globe.silo"".  The plots list remains greyed out.  You have to ReOpen to make a plot.
Added, HRC, 2/4/08:Another data point: Gunther noticed that if you open a gzipped Chombo file, this doesn't happen.  So involving the ZipWrapper file format affects this.
"
23,Resolved,Feature,Normal, Provide an OpenCLI() cli method which launches a new cli instance ,Cyrus Harrison,-,2.1,Cyrus Harrison,,,0%,,06/21/2010 07:14 pm,07/14/2010 03:01 pm,,,2.0.0,3 - Medium,3 - Occasional,All,DOE/ASC,"
rm-id: 38rm-submitter: Cyrus Harrisonrm-submit-date: 05/14/2010 03:05 pm
When using the visitmodule, Bob Corey expected visit.AddArgument(""-cli"") to pop up a new cli window when visit.Launch() was called. What he actually wants is the ability to launch a new cli instance from the VisIt python module, similar to OpenGUI(). So we should provide an OpenCLI() method to enable this.
"
24,Pending,Bug,Normal, need intrinsice/extrinsic flag for re-centering operations ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:14 pm,,4 - Common,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008584cq-submitter: Mark Millercq-submit-date: 04/15/08
I listed this as a bug but one could argue that it is really an enhancement request.
The user reported that after re-center a mass quantity from its native zone-centered state to a node-centered state, mass was created. As we spoke, it made perfect sense to me given what recentering in VisIt is doing. When we re-center in VisIt from zones to nodes, we...
a) visit each node   b) find all zones that share the node   c) add up the zonal values for those zones   d) divide (average) by the number of zones
However, the user explained that for the mass quantity he wasdealing with, the right algorithm is...
a) visit each zone   b) divide the zonal value by the number of nodes the zone has   c) accumulate the value to each of the zone's nodes
This is fundamentally the difference between an intrinsic and extrinsic quantity. An intrinsic quantity is one that DOES NOT change as you cut a zone into smaller pieces. Temperature is an example. If you cut a zone of temperature T0 into two pieces, each piece will have temperature T0. However, if you cut a zone of mass M1 into pieces, each piece will have a mass different from M1 (usually related to volume differences assuming a constant density)
VisIt needs to know the 'intrinsic'/'extrinsic' nature of its variables. That is a new flag on all avtXXXMetaData objects which can have the values; Extrinsic, Intrinsic, Unspecified. In the case that a variable's intrinsic-ness is Unspecified, the user needs the ability to specify which recentering algorithm above to use. So, re-center in PC plot and recenter expression need an option for this.
A separate ticket is for Silo to include extrnisic/intrinsic options in its variables.
"
25,Pending,Bug,Normal," Label format in legend does not apply to Contour labels, only min/max ",-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:14 pm,,2 - Rare,1 - Not Serious,2.0.0,,,All,DOE/ASC,"
cq-id: VisIt00008978cq-submitter: Kathleen S. Bonnellcq-submit-date: 09/30/09
Changing the 'number format' for a contour plot's legend hasno effect on the tick-mark labels, only on min/max.
I noticed this while working on some changes to the legends.I don't know if users would even want to change this ... butI thought I'd document the problem.
Current implementation details:
Our vtk class for legends has the ability for tick mark labelsfor 'levels' type legends to be supplied as strings or doubles.
Currently, no plot sends the values as double.  I would expectContour plot to be using the double-path, since its labels are the isovalues used in generating the plot.
However, the isovalues are generated by avtContourFilter, andthose double values are converted to strings using a hard-codednumber format. The strings are then sent as 'labels' attachedto the vtkDataSets in the pipeline. Contour plot retrievesthose string labels and sends them to the levels legend.
When the legend's number format is changed, the tick marklabels are not affected, obviously, because they are strings,not doubles.
"
26,Resolved,Bug,Normal, Slice/Elevate error w/ issue parallel engine ,Cyrus Harrison,-,2.2,Cyrus Harrison,,,0%,,06/21/2010 07:14 pm,01/05/2011 02:47 pm,3 - Occasional,3 - Major Irritation,2.0.0,,,All,DOE/ASC,"
cq-id: VisIt00009021cq-submitter: Cyrus Harrisoncq-submit-date: 02/11/10
Gary Kerbel called and reported a problem using slice + elevate on alastor in parallel.
Data @ /g/g24/cyrush/visit/ticket009021 on OCF.
Add PC Plot of JzSlice on Z AxisElevate rel to xy limits.
When using 16 processors on alastor, the correct plot is produced.When using 32 a large hole appears in the plot, it looks like it is an extents used to elevate are incorrect for a subset of the problem.
"
27,Pending,Bug,Normal, missing mesh lines from arb. polyhedral mesh ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,3 - Occasional,2 - Minor Irritation,1.12.2,,,All,DOE/ASC,"
cq-id: VisIt00009013cq-submitter: Mark Millercq-submit-date: 01/27/10
VisIt contains logic to remove what it thinks are 'internal' edges from a mesh plot when it renders them.  It uses avtOriginalZoneNumbers to drive this logic. I think the logic is...
...given an edge, if all the zones that share that edge have the same 'avtOriginalZoneNumber', the edge is removed. However, this fails on edges that are in fact external to the whole plot as it removes them when it should not. So, if an edge is external to the whole plot, keep it regardless, otherwise, remove as per current algorithm.
You can see this behavior when plotting arb. polyhedral data from silo.
"
28,Resolved,Bug,Normal, Parallel engine doesn't relaunch after crash/timeout when using the	cli ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,07/13/2010 05:09 pm,3 - Occasional,3 - Major Irritation,2.0.0,,,All,DOE/ASC,"
rm-id: 50rm-submitter: Cyrus Harrisonrm-submit-date: 06/14/2010 04:40 pm
Rich Cook reports that when using the cli after an engine crashes it appears VisIt does not try to relaunch the engine using the previous engine params. This used to be the case in VisIt 1.x.
"
29,Pending,Bug,Normal, Incorrect SIL behavior with time varying SILs. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,3 - Occasional,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008464cq-submitter: Hank Childscq-submit-date: 01/31/08
This ticket is a big deal for Gunther and I.  But I don't have the guts to make the change without consulting the experts.  It appears to be a problem with 1.7.1 and with 1.9.0b.
Here is a reproducer with the current version of the code.  (We are making some changes that exacerbate this problem.)
1) Open /trunk/data/Chombo_plot_data/plot00000.2d.hdf52) Make a PC plot of U_vel3) Bring up the subset window and turn off some levels4) Draw5) Delete the plot6) Make a new PC plot of U_vel7) Bring up the Subset window.  All of the levels are on.  This is not correct.  It should be the same as the SIL restriction from the first plot.
However, if you reverse steps 3 and 4, when you look at the subset window in step 7, some of the levels will be off (correctly).
Here's what I think is going wrong:In step 4, the call to ViewerPlotList::UpdatePlots() enacts a call to clear the default SIL restrictions.  It only clears the default SIL restrictions for time varying data.  The default SIL restrictions live as a data member named ""SILRestrictions"" in the ViewerPlotList.
When you reverse steps 3 and 4, it means that the Draw causes the clear to happen before you set the SIL restriction.  Since you set the SIL restriction afterwards, it will become the new default and then everything will work correctly.
I'm happy to make the change here, but I feel a little gunshy, since this code is so central and there is a chance for unforeseen side effects.
Also, note that the bug is actually worse than what I'm describing above.  If you make a plot, draw, change the levels, apply the SIL change, delete the plot, and make a new plot, then everythings work fine (the new SIL is preserved).  But, if you then delete this new plot and another one, it goes back to turning all of the levels on.(You have to do a SetSILRestriction after each DrawPlots to make it work correctly.)
"
30,Pending,Bug,Normal, Scatter plot gets colors wrong when restored from session. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,3 - Occasional,4 - Crash / Wrong Results,< 1.12,,,All,Any,"
cq-id: VisIt00008570cq-submitter: Kathleen S. Bonnellcq-submit-date: 03/28/08
Marcel Zemp provided session files and relevant data files.I copied his session files and modified them for ourmachines and local directory.
I only investigated the plot using vel_rad asthe x-coordinate.
The gist is that the scatter plot is colored red whenrestored from the sessionfile, but when created freshhas lots of green, cyan and blue color.
All variables being used for the scatter plot are expressions, and the min/max for the Color variablehave been changed from default.
data is is /usr/gapps/visit/bug_data/visit_bug_8570.tar.gz on OCF.

From Marcel's email:+++++++++++++++++++++++++++++++++++++++++++++++++++++Hello,

I found a strange bug in Visit that has to do with scatter plot. If you open the attached session file then the colour of the points is not correct. If one then:
- goes to scatter plots attributes- disables the min/max values for the color range- apply button- enables the min/max values for the color range again- apply button
=> colours are correct => but min/max values are still 0
Added ESB 4/4/2008:

From additional e-mails:

Addition: If the plot is in a state where it shows the correct colour with a black background and then tries to swap the background/foreground colours => all points are black (with white background) and I found no way so far to change that....
Ok - a further addition: if I change the sphape into spheres instead of points, change to white background, start the keyframe animation then the colours come back after a few frames and I can even switch now between different background colours and the colours of the points are correct. So there is some wired stuff going on here... but I hope this probably helps to hunt down the bug...
"
31,Resolved,Bug,Normal, MDserver crashes reading ddcMD data on MAC ,Cyrus Harrison,-,2.1.2,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,12/10/2010 05:18 pm,3 - Occasional,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008641cq-submitter: Kathleen S. Bonnellcq-submit-date: 06/09/08
Dave Richards sent data and log files.Opening the file on MAC crashes the MDSever.The log files indicate a SIGBUS.
He reports all other platforms work fine.
I confirmed VisIt 1.9 on linux can read his data.
Data is on OCF /usr/gapps/visit/bug_data/visit_bug_8641.tar.gz
"
32,Pending,Bug,Normal, movie wizard generated bogus params file from iconified window ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,2 - Rare,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008732cq-submitter: Mark Millercq-submit-date: 09/17/08
A user tried to use the movie wizard to make a movie.
As he switched between desktops, VisIt's window became iconified.
So, he started the movie wizard with VisIt's window in an iconified state and quickly marched through all the dialogs not paying any attention to the window size that it had chosen. The result was 100 frames of pnm images at 300x300 resolution (not the iconified size of the window but not the DE-icondified size of the window either) and a bogus params file that caused mpeg2encode to die; horizontal and vertical sizes were 0 and bitrate was zero.
"
33,Resolved,Bug,Normal, Files with a ton of variables take many minutes to load. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,07/20/2010 07:07 pm,3 - Occasional,5 - Very Serious,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008781cq-submitter: Brad Whitlockcq-submit-date: 10/23/08
We know about this issue and there could be another ticket for it but here is a new instance of the problem.
Chad Noble gave me a Silo file that takes forever to open. I timed VisIt and the Silo file itself takes 17-30 seconds to open. That's way slow and there are a lot of subdirectories, etc that make the file reading slow.
The real problem is that once the file is open, each plot menu takes about 30 seconds to construct due to the large number of variables. Essentially, we're waiting about 20(menus)*30(sec/menu) seconds. I gave up each time since it was too long to wait to open a file.
We need to rethink our menus. Where possible, we need to share like menus between plots. We also should consider a way of dynamically creating different levels of the menu on the fly so they get created as we scroll to them. These enhancements, if possible, should greatly speed up menu creation and make file opening more tolerable for these types of files. If menu changes are not possible, we might switch the plot menus to an alternate, more efficient widget above a certain number of variables.
It's worth noting that the existing code (albeit somewhat modified) is 10x faster on my Qt4 branch. That's a large improvement but we should also implement other speed improvements.
"
