#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
3016,Resolved,VisIt,Bug,High,Path to visit is incorrect in nersc cori host profile.,Eric Brugger,"",2.13.2,Eric Brugger,02/15/2018,"",100,2.0,02/15/2018 08:19 pm,05/17/2018 06:31 pm,3 - Occasional,3 - Major Irritation,2.13.0,"","",Linux,Any,I went to run visit client server from kickit to cori and used the nersc profiles from the 2.13RC and the path to visit was incorrect. We should also check the edison path as well.
3107,Resolved,VisIt,Bug,Immediate,Blueprint reader is causing open of Silo root files to fail.,Cyrus Harrison,"",2.13.2,Eric Brugger,05/16/2018,"",0,"",05/16/2018 12:44 pm,05/22/2018 07:22 pm,3 - Occasional,5 - Very Serious,2.13.0,"","",All,Any,"Several users at LLNL have reported that when they use 2.13.1 to open a multipart silo ""root"" file with VisIt that VisIt hangs. After some exploration by Mark, he determined that that Blueprint reader was trying to open the file and hanging. This is new to 2.13.1. The work around is to use 2.12.3."
3108,Resolved,VisIt,Bug,Immediate,"Huge memory leaks in GUI adding, deleting, hiding, showing plots",Mark Miller,"",2.13.2,Eric Brugger,05/16/2018,"",0,6.0,05/16/2018 12:51 pm,05/22/2018 07:02 pm,3 - Occasional,5 - Very Serious,2.13.0,"","",All,Any,"Allen Sanderson reported a huge memory leak in the VisIt GUI when he was adding, deleting, hiding and showing plots. He had about 400 variables in his file and the memory jumped by about 100Mb each time such an operation was performed. This could cause the GUI to quickly exceed several Gb."
2743,Resolved,VisIt,Feature,Normal,Rebuild fastbit and h5part for the 2.13.0 thirdparty_shared libraries at LLNL.,Eric Brugger,"",2.13.1,Eric Brugger,01/24/2017,"",0,"",01/24/2017 04:38 pm,03/01/2018 01:11 pm,"","",2.12.3,3 - Medium,3 - Occasional,All,Any,"Allen updated bv_fastbit and bv_h5part on the trunk, so we should rebuild those libraries for our 2.13.0 thirdparty_shared libraries."
2833,Rejected,VisIt,Bug,High,Restore session doesn't always track restore if a plot is hidden.,Kevin Griffin,"",2.13.1,Eric Brugger,05/24/2017,"",0,"",05/24/2017 05:17 pm,01/22/2018 05:28 pm,3 - Occasional,2 - Minor Irritation,2.12.1,"","",All,Any,"Kevin Roe saved a session with some plots hidden, when he restored it the hidden plots weren't hidden. I saw the failure, but I haven't been able to reproduce it. He had 2 databases open in different directories as well as plots in three windows, so perhaps it only fails in complex situations."
2860,Resolved,VisIt,Bug,Normal,The compression options should be greyed out with curve and ultra formats.,Mark Miller,"",2.13.1,Eric Brugger,07/03/2017,"",0,"",07/03/2017 02:13 pm,03/03/2018 05:03 pm,3 - Occasional,2 - Minor Irritation,2.12.1,"","",All,Any,I was in Kevin Roe's office and I was showing him how to save curves. I had him bring out the save options window and set the format to curve. The compression options were active for both curve and ultra and he was confused as to what they should be set to. They should be greyed out. They seem to grey out appropriately for the other file formats.
2864,Resolved,VisIt,Bug,Normal,Populating file list slow in directories with lots of files.,Mark Miller,"",2.13.1,Eric Brugger,07/13/2017,"",0,15.0,07/13/2017 12:34 pm,03/15/2018 06:51 pm,3 - Occasional,3 - Major Irritation,2.12.1,"","",All,Any,"Jose reported that he is running VisIt and then he wants to open a new database in another directory and it takes forever to populate the file list for the new directory and he can't do anything with his existing database while it does that. He asked if this could be launched in a thread and not block VisIt. Alternatively, we could try to make it faster to populate the file list. Mark mentioned that ""find -type f -print"" is a lot faster than doing an ""ls -l"", so perhaps there is a different system call that can be made instead of stat that is faster."
2909,Resolved,VisIt,Bug,Normal,Getting error message that NUMPY not found when running CMake on cab.,Eric Brugger,"",2.13.1,Eric Brugger,09/08/2017,"",100,6.0,09/08/2017 03:19 pm,03/06/2018 11:35 am,3 - Occasional,3 - Major Irritation,2.12.3,"","",All,Any,I noticed that I am getting an error message that NUMPY can't be found when running CMake on cab. We should probably try to fix this before the 2.13 release. The message says NUMPY_INCLUDE_FOUND and NUMPY_VERSION_FOUND are missing.
2931,Resolved,VisIt,Bug,Normal,Active window setting in main GUI window only displays 1 digit,Eric Brugger,"",2.13.1,Eric Brugger,10/06/2017,"",100,2.0,10/06/2017 02:10 pm,03/07/2018 02:38 pm,3 - Occasional,2 - Minor Irritation,2.12.3,"","",All,Any,"Jose Milovich called to report that the active window display in the main GUI window only displays 1 digit. If he sets it so something above 9, he only sees a single one digit. It looks like the space is constrained to just a single digit. This should be an easy fix."
2947,Resolved,VisIt,Bug,Normal,The color table has an extraneous label with discrete color tables.,Mark Miller,"",2.13.1,Eric Brugger,10/23/2017,"",100,1.0,10/23/2017 08:09 pm,03/06/2018 11:14 am,3 - Occasional,2 - Minor Irritation,2.12.3,"","",All,Any,"If you bring up the color table window and select a discrete color table, right above the grid of colors will be the label ""Smoothing"". I don't believe this serves any purpose and I suspect the coding in the GUI window is not turning it off when displaying a discrete color table. It should be present for continuous color tables."
