#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
1506,Resolved,VisIt,Bug,Normal,build_visit requires qt information even if not strictly needed,Kathleen Biagas,"",2.13.1,Kathleen Biagas,06/19/2013,"",100,"",06/19/2013 02:05 pm,03/02/2018 03:38 pm,3 - Occasional,2 - Minor Irritation,trunk,"","",All,Any,"I was attempting to update itaps on my machine using build_visit gui. I turned off everything except itaps, but I was still prompted to accept the qt license.  I could only get around this by adding the alt-qt-dir.  Seems like this could be skipped if I request only third-party libs that have no dependence on qt and I am not trying to build visit."
2091,Resolved,VisIt,Bug,Normal,mpicom python module on Windows not building correctly,Kathleen Biagas,"",2.13.1,Kathleen Biagas,12/18/2014,"",100,2.0,12/18/2014 11:54 am,03/07/2018 06:36 pm,3 - Occasional,2 - Minor Irritation,2.8.2,"","",Windows,Any,"It is being linked with MS HPC msmpi.lib.

When I run this simple script:
import sys
sys.path.append(""C:\\path\\to\\visit\\build\\lib\\site-packages"")
import mpicom
print dir(mpicom)

this is what prints:
['__builtins__', '__doc__', '__file__', '__name__', '__package__', '__path__', '
mpistub']"
2225,Resolved,VisIt,Bug,Normal,Python filters failing on Windows,Kathleen Biagas,"",2.13.1,Kathleen Biagas,04/13/2015,"",100,4.0,04/13/2015 12:40 pm,03/08/2018 07:26 pm,3 - Occasional,4 - Crash / Wrong Results,2.8.2,"","",Windows 8,Any,"Reported by Allen Harvey.
 avtPythonExpression::Execute Error - Error unwraping vtkDataSet result

when attempting to use a custom vector expression.

He reports it still works on Linux, but started failing on Windows 'several versions ago'.
"
2269,Resolved,VisIt,Bug,Normal,VisIt hangs if user-set VISITSSH does not point to executable,Kathleen Biagas,"",2.13.1,Kathleen Biagas,05/13/2015,"",100,1.0,05/13/2015 04:43 pm,11/21/2017 04:57 pm,3 - Occasional,2 - Minor Irritation,2.8.2,"","",Windows,Any,"To whom it may concern,
May I suggest: if the Windows environment variable VISITSSH is defined without an executable, that VisIt give a warning or error, rather than simply trying to connect forever?
When I defined VISITSSH, I forgot to include ""plink.exe"" after the directory location. When I attempted to connect to the remote host, VisIt would just sit there with the ""metadata server launch progress"" dialog, with its marching radio buttons, showing the message ""VisIt is waiting for a metadata server to launch on...""
Thanks,
Keith
"
2569,Resolved,VisIt,Bug,Normal,QT 5 enabled VisIt installed on windows 7 VM hangs,Kathleen Biagas,"",2.13.1,Kathleen Biagas,03/30/2016,"",100,"",03/30/2016 05:30 pm,03/08/2018 06:07 pm,3 - Occasional,4 - Crash / Wrong Results,trunk,"","",Windows 7,Any,"I created a binary version of the trunk, built with QT 5 enabled.
It runs fine on my development machine, both from the build and when installed from binary.
It also runs fine on my personal windows 7 machine when installed from binary.

However, when I install it on the Windows 7 VM that I use for normal Visit testing, it hangs.

A QT error message is continuously generated:

Qt: Critical: QEventDispatcherWin32::registerTimer: Failed to create a timer. (The current process has used all its systems allowance of handles for Window Manager objects.)

Looks like this was happening during gui's attempt to communicate with viewer."
2775,Resolved,VisIt,Bug,Normal,Windows nectdf reader Cannot open file generated using ncdf4 package in R.,Kathleen Biagas,"",2.13.1,Kathleen Biagas,02/28/2017,"",100,"",02/28/2017 06:45 pm,03/02/2018 11:20 am,3 - Occasional,4 - Crash / Wrong Results,2.12.1,"","",Windows,Any,"Customer provided a small test file.
VisIt on linux opens the file and seems to plot correctly."
2866,Resolved,VisIt,Bug,Normal,Scatter plot wizard populating variable menu using previous database.,Kevin Griffin,"",2.13.1,Kathleen Biagas,07/13/2017,"",100,"",07/13/2017 01:12 pm,02/08/2018 06:53 pm,3 - Occasional,2 - Minor Irritation,2.12.2,"","",All,Any,"Here's the email reference:

https://elist.ornl.gov/pipermail/visit-users/2017-July/020335.html

Customer says that after using the scatter plot with one database, he opens a second, but the scatter plot wizard (not the atts window, the wizard) populates the variable menu selections with variables from the first database, not the second."
2881,Resolved,VisIt,Bug,Normal,py_exprs test fails in parallel on Windows,Kathleen Biagas,"",2.13.1,Kathleen Biagas,08/04/2017,"",100,2.0,08/04/2017 12:07 pm,03/07/2018 03:21 pm,3 - Occasional,4 - Crash / Wrong Results,2.12.3,"","",Windows,Any,"I run the windows equivalent of './runtest -n 1 --lessverbose -m parallel tests/hybrid/py_exprs.py'

Here is the message printed out to the command window:

VisIt: Error - Pseudocolor:  (ExpressionException)
viewer.exe: The 'py' expression failed because avtPythonExpression::ProcessArguments Error - Failed to initialize the python filter environment.
Python Environment Error:
<type 'exceptions.AttributeError'>'module' object has no attribute 'init'
Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
AttributeError: 'module' object has no attribute 'init'


I have added the test to the skip list until it can be fixed."
2923,Resolved,VisIt,Feature,Normal,Error messages from launcher on Windows,Kathleen Biagas,"",2.13.1,Kathleen Biagas,09/29/2017,"",100,1.0,09/29/2017 04:44 pm,11/21/2017 05:00 pm,"","",2.12.3,3 - Medium,3 - Occasional,Windows,Any,"There are times the launcher (visit.c) should give error messages to user, but because we create Windows Apps instead of Console Apps, the error messages are never seen. (Currently only issue messages to stderr).

Should we create Message Box messages for error conditions and/ or warnings?

This occurred to me when fixing the hang when use specified '-np 2' on the command line, but mpiexec was not located.
Would like user to see message regarding this, or other errors (like VISITSSH env var not pointing to an executable)."
2956,Resolved,VisIt,Bug,High,Move Visit to MSVC 2017,Kathleen Biagas,"",2.13.1,Kathleen Biagas,10/30/2017,"",100,"",10/30/2017 12:01 pm,03/01/2018 04:53 pm,3 - Occasional,2 - Minor Irritation,2.12.3,"","",Windows,Any,"Ale3d for Windows has moved to MSVC2017, and they can no longer integrate with the libsim plugin due to incompatibility with the compilers currently used to build VisIt (2012 or 2013).

"
