#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
1016,Resolved,VisIt,Bug,Urgent,Log plotting + rectilinear + nodal centering + large range gets mapped wrong.,Kevin Griffin,"",2.9.1,Hank Childs,04/06/2012,"",100,"",04/06/2012 04:53 pm,03/19/2015 11:09 pm,2 - Rare,4 - Crash / Wrong Results,2.4.2,"","",All,Any,"This script should reproduce:

OpenDatabase(""~/visit/data/rect2d.silo"")
AddPlot(""Pseudocolor"", ""d"")
pc = PseudocolorAttributes()
pc.minFlag = 1
pc.min = 1e-5
pc.maxFlag = 1
pc.max = 1000
pc.centering = pc.Nodal
pc.scaling = pc.Log
SetPlotOptions(pc)
DrawPlots()


I dug in for a while and the values in the texture coordinates all seem to be relative to linear plotting, with the color table shifted to log form.  When we put in textures on the order of <0.005, then the values all get mapped to the color at the bottom of the color table.  I believe this is because the resolution of the color table is such that most of the colors are being lost.

This does not happen with the vtkOpenGLPolyDataMapper ... if you apply a Clip operator and change the data from rectilinear to polydata, the problem goes away.
Similarly, if you turn off 1D textures, the problem goes away as well.

(This popped up with a real AMR data set ... the contrived example above is just to get an easy reproducer.)

Finally: this is a new problem with the VTK 5.8 update."
1250,Resolved,VisIt,Bug,Normal,Too much data loaded when picking with secondary variables,Hank Childs,"",2.6.1,Hank Childs,11/26/2012,"",0,8.0,11/26/2012 12:04 pm,12/11/2012 06:56 pm,2 - Rare,2 - Minor Irritation,2.5.2,"","",All,DOE/NEAMS,"(1) Make a slice of a mesh from a Nek5000 file.
(1b) Nek5000 uses data selections ... only part of the file is read in (the part that intersects a slice)
(2) Pick
(2b) (everything works great!)
(3) Add a secondary pick variable and pick again
--> it crashes

The crashes comes from running out of memory.  The problem is that the data selection is not sent up when requesting the secondary variable.  So the entire mesh is read in and that is too much memory.  

Looking over the code, the action is in avtPickQuery::ApplyFilters.  It makes a new avtDataRequest which doesn't have the same data selection (for the slice operator).

I tried adding an avtPointSelection, but that also caused a crash ... it was using the point (X, Z, 0) instead of (X, 0, Z) since the Slice's transform wasn't being built into the pick attributes.  And I didn't see how to do an inverse transform.
"
922,Resolved,VisIt,Bug,Normal,Scatter plot can't be picked,Kathleen Biagas,"",2.5,Hank Childs,12/19/2011,"",0,"",12/19/2011 04:46 pm,03/08/2012 11:43 am,3 - Occasional,3 - Major Irritation,2.4.0,"","",All,Any,"Don Pellegrino reported to the users list that pick doesn't work with scatter plot.
I found this to be true with noise.silo, Scatter plot of hardyglobal and shepardglobal.
I debugged a bit.
First, in ViewerQueryManager, there is some logic about whether to do a ""Glyph Pick"".  This logic is missing a clause for the Scatter plot.
Second, in VisWindow.C, there is a method called GlyphPick.  It looks like it does a successful intersection, but it doesn't return a valid pick because it is missing some AVT arrays.
I hit this code:
                        debug5 << ""GlyphPick: Data does not have ""
                               << ""avtOriginalCellsArray or avtOriginaNodesArray.""
                               << endl;
I believe that it did re-execute the pipeline to pull in those arrays.  I believe the failure is that the Scatter plot, which is creating a brand new data set from the old one, is not propagating the arrays along.
So the second part of the problem is hopefully just to modify avtScatterFilter.C.
"
580,Resolved,VisIt,Bug,Urgent,"Plugins can't be loaded if you run out of directories with ""_par"" or ""_ser"" in the name.","","",2.2.1,Hank Childs,02/02/2011,"",0,0.5,02/02/2011 01:17 pm,02/03/2011 04:35 pm,3 - Occasional,5 - Very Serious,2.2.0,"","",All,Any,"If you run a version of VisIt that is in a directory that has _par or _ser in the name, then it can't load plugins.
I believe the problem code is at:
        int suffixLen = (openPlugin.find(""_ser"") != -1 ||
                         openPlugin.find(""_par"") != -1) ? 4 : 0;
in PluginManager.C
It should only be looking for those strings after the last slash.

Note that found in should read 2.2.0, not trunk."
582,Resolved,VisIt,Bug,Urgent,EvalCubicSpline doesn't work for 2.2.0,Cyrus Harrison,"",2.2.1,Hank Childs,02/03/2011,"",0,"",02/03/2011 10:46 am,02/08/2011 11:41 am,4 - Common,5 - Very Serious,2.2.0,"","",All,Any,"EvalCubicSpline has a problem where it can't resolve ""len"" in 2.2.0 and thinks it is a global variable.
This was reported by brian@fluidmotion.us on the user's list.  I was able to reproduce on my Mac.
I reproduced by running the script on visitusers.org:
http://visitusers.org/index.php?title=Visit-tutorial-python-fly

I did some Google searches and nothing jumped out.  I don't understand why it wouldn't recognize this built in function.

I am suggesting a target version of 2.2.1, since this is a regression.  I also scored likelihood and severity high since I personally advertise this function in the tutorial and I think people make use of it."
595,Resolved,VisIt,Bug,Normal,IndexSelect on particle data creates multi-vertices,Kathleen Biagas,"",2.2.1,Hank Childs,02/10/2011,"",0,1.0,02/10/2011 12:09 am,02/22/2011 02:58 pm,2 - Rare,4 - Crash / Wrong Results,2.2.0,"","",All,Any,"Open up noise.silo.
Make a plot of PointVar.
Apply the IndexSelect op.
Apply the Box op.
If you move the box so it contains some vertices, but not others, you get all vertices.
This is b/c the IndexSelect creates a multi-vertex, instead of lots of VTK_VERTEX.  The Box operator (and other ops) don't gracefully deal with multi-vertices.

The IndexSelect operator should be modified to produce one VTK_VERTEX per point.  

I tried doing this and it wasn't the 10 minute job I anticipated.  Not sure what I was doing wrong."
282,Resolved,VisIt,Bug,Normal,xmledit crashes with deleted enums and enablers,Jeremy Meredith,"","",Hank Childs,07/15/2010,"",0,"",07/15/2010 01:52 pm,07/16/2010 10:52 am,2 - Rare,4 - Crash / Wrong Results,2.0.0,"","",All,Any,"Run xmledit on Curve.xml.
Change symbol density to have ""symbol"" as an enabler with value X.
Go to the enums tab and delete the SymbolTypes type.
Save the xml file.  This will cause xmledit to crash.
Looking into the problem, in tools/xml/Attribute.h, we try to call WriteTagAttr for f->enabler->name.  Enabler appears to be bad, maybe a dangling pointer.  The pointer appears to look OK, but try to cerr the name will lead to a crash."
454,Pending,VisIt,Bug,Normal,Expressions with no real variables don't give warning with ChangeActiveVars,"","","",Hank Childs,10/29/2010,"",0,"",10/29/2010 01:20 pm,02/03/2011 01:30 pm,3 - Occasional,2 - Minor Irritation,2.1.0,"","",All,Any,"Open noise.silo.
Make a vector plot of grad.
Go to Controls->Expressions and make a vector variable defined as {1,0,0}.  (This expression has no real variables; it should fail.)
Go to the variables dropdown and change to unnamed1.  It doesn't change, but it doesn't tell you why.  There is no feedback.
If you try to make a plot of unnamed1, it correctly says there are no real variables.
It looks like we lost a check for ChangeActiveVariables."
553,Pending,VisIt,Feature,Normal,Cache results from EEF,"","","",Hank Childs,01/11/2011,"",0,12.0,01/11/2011 03:16 pm,01/13/2011 06:44 pm,"","","",3 - Medium,3 - Occasional,All,Any,"The purpose of this submission is to document what it will take to get the expression evaluator filter (EEF) to cache its results.
As I see it, there are two major questions:
(1) what should be cached?
(2) when should we try to store/fetch arrays in the cache?

As far as (1), my thought is that we should only cache items that are outputted from the EEF.  If we try to cache intermediate objects, we run the risk of blowing the cache.
As far as (2), my thought is that we add logic to the beginning and end of EEF::Execute().  The logic at the beginning will check to see which domains have been loaded for this processor and then check to see if any of the final expressions are available in the cache.  If so, then it needs to create a new pipeline to execute, removing the unnecessarily filters corresponding to the cached expression.  The logic at the end would simply add the produced expressions to the cache.

There are some downsides to the suggestion to #2.  When the EEF modifies the contract, it requests all variables it believes are necessary to construct the expression.  If the expression is actually cached, none of those variables need to be ""loaded"".  I put ""loaded"" in quotes b/c those variables were already read from disk and should be in cache (or else we couldn't have calculated the expression in the first place!).  So I don't view this to be a huge downside, especially because we don't recalculate extents any more.  The reason I think it needs to be done in this manner is that it will be tough to know what is available in the cache before the EEF::Execute ... we need to the load balancer to run and tell us what domains our MPI task should process.  Failing that, we don't know whether the expression is actually calculated on all domains, since that information is distributed over many processors."
587,Developer Review,VisIt,Bug,High,WriteData method doing too much work,"","","",Hank Childs,02/03/2011,"",0,"",02/03/2011 11:33 pm,07/05/2011 09:48 pm,4 - Common,4 - Crash / Wrong Results,2.2.0,"","",All,Any,"I was doing a study where I was ray-casting a 4B cell problem with 64 processors.  I observed that there was a ""Synchronize"" phase at the end that was lasting 6 seconds -- an appreciable amount of the entire time.

I attached with a debugger and found that the entire data set was being serialized and passed around between the processors.  Each processor was sending another a 271MB message in an effort to decide whether or not we should enter scalable rendering mode.

I have two comments:
(1) when we ray cast volume renderer, we shouldn't have to determine if we exceed the SR threshold.
(2) in the normal case (the geometry case), it seems like we should have a phase where we collect only triangle counts before we actually start sending data.

I am marking the Severity as Crash, since I have seen some occasions where we run out of memory and I now think that it is related to this behavior."
