#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
2307,Rejected,VisIt,Bug,High,visit2.9.2 release tarball[s?] are doubly-compressed,"","",2.10,Tom Fogal,06/23/2015,"",0,"",06/23/2015 09:34 pm,08/26/2015 08:39 pm,4 - Common,3 - Major Irritation,2.9.2,"","",All,Any,"The release tarball:

  http://portal.nersc.gov/project/visit/releases/2.9.2/visit2_9_2.linux-x86_64-ubuntu14.tar.gz

is gzipped *twice*.  That is, to extract one must:

  $ gunzip visit2_9_2.linux-x86_64-ubuntu14.tar.gz
  $ mv visit2_9_2.linux-x86_64-ubuntu14.tar visit2_9_2.linux-x86_64-ubuntu14.tar.gz
  $ tar zxvf visit2_9_2.linux-x86_64-ubuntu14.tar.gz

I have a vague recollection that I hit this with 2.9.1 as well.  Perhaps there is a packaging script bug?"
890,Resolved,VisIt,Bug,Normal,"""-display"" not propagating from GUI",Hank Childs,"",2.4.1,Tom Fogal,11/09/2011,"",0,2.0,11/09/2011 03:01 pm,11/18/2011 10:56 am,5 - Always,2 - Minor Irritation,2.3.2,"","",All,Any,"When setting hardware acceleration settings from the GUI, custom ""DISPLAY"" variable settings are not getting passed to subsequent engine launches.

The code for this is in @common/proxy/RemoteProxyBase.C@:

<pre>
if(!launch->GetXDisplay().empty())
{
    AddArgument(""-display"");
    AddArgument(launch->GetXDisplay());
}
</pre>

so it looks like @GetXDisplay@ is returning an empty string even when the string is set in the GUI.  This probably means that changing it in the GUI is not properly setting the string in the first place.

Workaround is to just add it to the 'custom args' box we have."
864,Resolved,VisIt,Feature,Low,Detail whether the engine is using a GPU or a CPU via the GUI,Brad Whitlock,"",2.4,Tom Fogal,09/28/2011,"",100,"",09/28/2011 04:16 pm,06/19/2013 10:42 am,"","","",1 - Very Low,4 - Common,All,Any,"Many users are confused as to whether or not they're using GPUs.  We should have a widget which details whether the engines are all using GPU rendering, all using CPU rendering, or some sort of mix."
471,Resolved,VisIt,Bug,Normal,"FindMPI CMake looks for libraries (""-l"" options) too literally","","",2.2,Tom Fogal,11/10/2010,"",0,"",11/10/2010 02:43 pm,12/29/2010 12:15 pm,2 - Rare,2 - Minor Irritation,2.1.0,"","",All,Any,"This is apparently Kitware's bug:

   http://public.kitware.com/Bug/view.php?id=10778&nbn=1

but our users are getting bit by it, so it'd be nice if we could find some kind of workaround.

As a summary of the problem, FindMPI looks for ""-l"" options on the command line needed for MPI programs.  However some systems end up with default compilers of, say ""x86_64-pc-linux-gnu-g++"".  The regex logic in the module picks up on the ""-linux-gnu-g++"" part, and tries to add it as a link option... which is of course garbage.

There's a CMake patch available to fix this:

  http://sources.gentoo.org/cgi-bin/viewvc.cgi/gentoo-x86/dev-util/cmake/files/cmake-2.8.1-mpi.patch?view=markup

We could apply the patch as we build CMake, as one solution.  Is there a way we can clone FindMPI in our tree and apply the patch there, though?  That'd be nicer because it'd allow an external cmake install to be used."
416,Resolved,VisIt,Bug,Normal,Pixie or Vs DB causing HDF5 errors,Mark Miller,"",2.1.1,Tom Fogal,10/07/2010,"",50,"",10/07/2010 05:24 pm,11/04/2010 05:24 pm,5 - Always,2 - Minor Irritation,2.1.0,"","",Linux,Any,"I ran VisIt with -noconfig -o ~/data/nimrod/phi_BT.h5 and got this on my terminal:

 HDF5-DIAG: Error detected in HDF5 (1.8.4) thread 0:
   #000: H5G.c line 397 in H5Gopen2(): unable to open group
     major: Symbol table
     minor: Can't open object
   #001: H5G.c line 947 in H5G_open_name(): group not found
     major: Symbol table
     minor: Object not found
   #002: H5Gloc.c line 468 in H5G_loc_find(): can't find object
     major: Symbol table
     minor: Object not found
   #003: H5Gtraverse.c line 877 in H5G_traverse(): internal path traversal
 failed
     major: Symbol table
     minor: Object not found
   #004: H5Gtraverse.c line 703 in H5G_traverse_real(): traversal operator
 failed
     major: Symbol table
     minor: Callback failed
   #005: H5Gloc.c line 423 in H5G_loc_find_cb(): object doesn't exist
     major: Symbol table
     minor: Object not found
 E: H5PartSetStep: Cannot open group ""Step#0"".
 HDF5-DIAG: Error detected in HDF5 (1.8.4) thread 0:
   #000: H5G.c line 397 in H5Gopen2(): unable to open group
     major: Symbol table
     minor: Can't open object
   #001: H5G.c line 947 in H5G_open_name(): group not found
     major: Symbol table
     minor: Object not found
   #002: H5Gloc.c line 468 in H5G_loc_find(): can't find object
     major: Symbol table
     minor: Object not found
   #003: H5Gtraverse.c line 877 in H5G_traverse(): internal path traversal
 failed
     major: Symbol table
     minor: Object not found
   #004: H5Gtraverse.c line 703 in H5G_traverse_real(): traversal operator
 failed
     major: Symbol table
     minor: Callback failed
   #005: H5Gloc.c line 423 in H5G_loc_find_cb(): object doesn't exist
     major: Symbol table
     minor: Object not found
 Running: engine_ser -host 127.0.0.1 -port 5600 -dv

This does not happen if I run w/o -o and then select H5Nimrod as the file type in the open dialog.

This comes from the mdserver.  I ran with -norun engine_ser, and saw the errors before I launched the engine.  mdserver log attached.

This wasn't the 2.1.0 release, it was r12701."
425,Pending,VisIt,Bug,Normal,"2D mesh and pseudocolor plot Z-fights, covering the Mesh plot.",Eric Brugger,"","",Tom Fogal,10/13/2010,"",0,"",10/13/2010 06:23 pm,09/21/2011 04:18 pm,4 - Common,2 - Minor Irritation,trunk,"","",All,Any,"Jean Favre demonstrated a case where a mesh plot and a pseudocolor plot in the same window will only show the pseudocolor.

The issue seems limited to 2D data.  It only happens when he saves a window, and ""Screen capture"" fixes it.  Elevating both plots to 3D with the mesh plot a bit above the pseudocolor plot also seems to fix the problem.  Thus we suspect Z-fighting.

See the attached image -- note the two plots in the legend on the left, yet the mesh is clearly not visible.

He is using the trunk, r12720."
472,Resolved,VisIt,Bug,Normal,Scatter plot wizard w/ color var ignores color variable,Allen Sanderson,"","",Tom Fogal,11/10/2010,"",0,"",11/10/2010 04:51 pm,11/24/2010 01:10 pm,5 - Always,2 - Minor Irritation,trunk,"","",All,Any,"Using the scatter plot wizard with 3 variables (x, y, and color) does not properly utilize the color variable.

1. visit -noconfig
2. open up a data file with three variables
3. create a scatter plot of one of the variables
4. change the Y variable in the wizard
5. click ""Color Variable"" checkbox and select third variable
6. Finish
7. Draw

Notice that the plot is black and white.

The issue appears to be in the attributes.  If one jumps into the 'Appearance' tab, you'll note that ""Color"" is set to ""Foreground Color"".  This should probably be ""Color table"".  If you manually change it to ""Color table"" and then ""Apply"", the results are correct."
487,Developer Review,VisIt,Feature,Normal,Dot-visit files should support wildcards,"","","",Tom Fogal,11/18/2010,"",0,"",11/18/2010 04:35 pm,12/07/2010 12:21 pm,"","","",3 - Medium,3 - Occasional,All,Any,"Mike Barad requests that .visit files support wildcards and a mechanism to say that the entire file is a single timestep.

For the first case, notably that ""!NBLOCKS ALL"" be interpreted to mean that all of the files listed are different blocks from the same timestep.  This would mean users don't have to count the number of files they have for this simple case.

Secondly, he would like to expand wildcards within filenames in the file.  For example, ""*.vtk"" would be interpreted to mean all of the VTK files in the directory which the .visit file resides."
662,Pending,VisIt,Bug,Low,opacity correction in tuvok: broken due to volume size,Tom Fogal,"","",Tom Fogal,03/24/2011,"",0,"",03/24/2011 04:54 pm,03/31/2011 03:42 pm,5 - Always,4 - Crash / Wrong Results,trunk,"","",All,Any,"One of the students here finally figured out why images rendered through Tuvok look so much different than the 3D texturer, which it should be largely equivalent to.  Tuvok isn't getting appropriate values for the overall volume size (m_vGlobalSize), which causes it to compute a junk value for the opacity correction factor.  This makes everything excessively 'thin'."
671,Pending,VisIt,Bug,Normal,stale or incorrectly sized readbacks during SR GPU rendering,Tom Fogal,"","",Tom Fogal,03/30/2011,"",0,"",03/30/2011 05:11 pm,05/18/2011 11:39 am,3 - Occasional,4 - Crash / Wrong Results,2.2.0,"","",All,Any,"A user is experiencing readbacks of an apparently stale, potentially incorrectly sized buffer, when using GPU rendering on a remote cluster.  See attached image.  Doing a save image in this state gets the left half of the image correct, but the right half is completely missing.

The user is loading a BOV split it into two parts.  Rendering on two processes, each with a GPU.  They both appear to be on the same server."
