#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
3080,Resolved,VisIt,Bug,Normal,blueprint plugin succeeding in opening .root (silo) files and then segv'ing the mdserver,Cyrus Harrison,"",2.13.2,Mark Miller,05/01/2018,"",0,"",05/01/2018 08:38 pm,06/12/2018 12:23 pm,4 - Common,5 - Very Serious,2.12.3,"","",All,Any,"This is happening for Jeff Greenough.

Jeff's .root file is a Silo/HDF5 root file for a multi-part Silo file. But, Blueprint plugin is opening the file and and then seg'ving later on in mdserver.

You can re-produce by running the test data producer, multidir, as 
<pre>
./multidir -driver DB_HDF5
</pre>
Then, start VisIt, open multidir_test_data/*.root from within GUI and it will appear to hang as the mdserver cores and restarts a few times.

"
3146,Resolved,VisIt,Feature,Normal,Handle multi-block curve objects in VisIt internals,Mark Miller,"",2.13.2,Mark Miller,05/22/2018,"",0,4.0,05/22/2018 03:44 pm,06/12/2018 11:53 am,"","",2.12.3,3 - Medium,3 - Occasional,All,Any,"A user defined a curve in a Silo file using multi-block 1D quad meshes but then couldn't plot them as curves.

VisIt has logic to detect 1D quadmeshes and re-interpret them as curves. However, it requires the quadmeshes also be single block.

By removing that logic and allowing a avtCurveMetaData to haven blocks, I've tested this and it works with very minor changes to VisIt internals.

The curve plot behaves strangely when domains are removed in the middle because it winds up connecting the dots across gaps in the curve that would otherwise exist due to domain removal. Removing domains from the ""ends"" of the curve plot works fine.

What should a subset plot of a multi-block curve look like? One idea I had was a banded colored background of the curve plot or a horizontally colored line.

Supporting a multi-block curve object simplifies data producers whose curve data is distributed across multiple MPI ranks.

OTOH, it is very apparent that ""curves"" should not demand as much special handling in Visit as we have for them and we'd be much better off just dealing with them like any other (rectilinear) qualmish except that they are 1D topologically and spatially. If we wound up modifying VisIt everywhere to do that, then this simple fix for curves is not necessary."
2944,Rejected,VisIt,Bug,Normal,ProtienDataBank plugin interferes with Portable Database Files,Mark Miller,"",2.13.1,Mark Miller,10/22/2017,"",0,"",10/22/2017 07:28 pm,11/20/2017 05:58 pm,3 - Occasional,3 - Major Irritation,2.12.3,"","",All,Any,"Both ProtienDatabank and Portable Database files have a @.pdb@ extension.

A file to demonstrate the issues is attached.

I opened it with with ProteinDatabank plugin and it opened successfully and showed several menu objects. It then allowed me to attempt to plot one and then produced the plot yielded no data message.

The problem is that the plugin summarily populates database metadata without regard for whether the file open actually succeeded. If it conditioned the population of metadata on a successful file open, then it could return _empty_ metadata in cases where the file is not a ProtienDatabank file and VisIt would recognize that the plugin is probably not the right one to use for the given file (even though the extensions matched).

Next, even a GetMesh call succeeds and returns NULL from this plugin.

This behavior had us convinced the file was indeed a ProteinDatabank file even though later analysis proved that it wasn't.

"
2960,Resolved,VisIt,Bug,Normal,"curve_cmfe template insert indicates 'meshname', should be 'curvename'",Mark Miller,"",2.13.1,Mark Miller,10/30/2017,"",0,"",10/30/2017 05:21 pm,11/21/2017 07:59 pm,3 - Occasional,1 - Not Serious,2.12.3,"","",All,Any,"When inserting curv_cmfe template into expression window, the template indicates a 'meshname' argument. It should be a curvename argument."
2991,Rejected,VisIt,Bug,Normal,Fix generation of include/VisItLibraryDependencies.cmake on OS X,Kevin Griffin,"",2.13.1,Mark Miller,05/19/2016,"",0,4.0,12/13/2017 11:58 am,01/22/2018 05:09 pm,3 - Occasional,4 - Crash / Wrong Results,2.13.0,"","",All,Any,"The last time I built VisIt on OS X for release using masonry, the VisItLibraryDependencies.cmake file got a lot of paths that were specific to where it was installed (e.g /Users/miller86/visit/masonry/mbuild-visit-2.10.2-darwin-x86_64/thirdparty_shared/visit/zlib/1.2.7/darwin-x86_64/lib/libz.dylib).

This happened with libz and boost.

I have no idea why it happened but it prevents building custom plugins against and installed VisIt.

"
2995,Resolved,VisIt,Bug,Normal,XYZ export does NOT remove unused points,Mark Miller,"",2.13.1,Mark Miller,01/19/2018,"",0,"",01/19/2018 03:41 pm,01/24/2018 03:31 pm,2 - Rare,4 - Crash / Wrong Results,2.13.0,"","",All,Any,"# Open noise.silo
# PC plot hardyglobal
# Apply boundary operator
# Draw
# Export database to XYZ
# Open the exported database and plot 'element' or 'var0'

It appears to have *all* points not just the points produced by the boundary op.

If you export to another format, like Silo, this does not happen."
3031,Resolved,VisIt,Bug,Normal,Qt openssl build control for build_visit,Mark Miller,"",2.13.1,Mark Miller,03/01/2018,"",0,"",03/01/2018 01:20 pm,03/01/2018 05:53 pm,3 - Occasional,2 - Minor Irritation,2.12.3,"","",All,Any,"We had some users running into trouble with build_visit on Fedora ultimate related to openssl with Qt.

The solution was to add --no-openssl to Qt build. But, we don't wanna do that in general. Only when its absolutely necessary. This is because SeedMe needs it. Currently, SeedMe is not a bonafied build_visit package and is instead a sub-package in python build. So, build_visit really has no knowledge about whether it is or is NOT being requested in a build. So, there is no way to condition --no-openssl in Qt on basis of SeedMe. When python packages are promoted to fully first class packages in build_visit, then we could do business that way.

The solution here may be to just add an env. variable such as DO_QT_OPENSSL that a build_visit invoker can set to control this.

Below is the patch that our users came up with to bv_qt.sh to get things to build on Fedora.

<pre> 
 
17445c17445
<     if [[ ""$DO_OPENSSL"" == ""no"" ]]; then
---
>     if [[ ""$DO_OPENSSL"" == ""yes"" ]]; then
18020c18020
<     QTEXEC=""qmake --no-openssl""
---
>     QTEXEC=""qmake""
18022c18022
<         QTEXEC=""qmake-qt4 --no-openssl""
---
>         QTEXEC=""qmake-qt4""
18429c18429
<             EXTRA_QT_FLAGS=""$EXTRA_QT_FLAGS -no-webkit -no-phonon
-no-phonon-backend --no-openssl""
---
>             EXTRA_QT_FLAGS=""$EXTRA_QT_FLAGS -no-webkit -no-phonon
-no-phonon-backend""
18474c18474
<         EXTRA_QT_FLAGS=""$EXTRA_QT_FLAGS -static -qt-libtiff -qt-libpng
-qt-libmng -qt-libjpeg --no-openssl""
---
>         EXTRA_QT_FLAGS=""$EXTRA_QT_FLAGS -static -qt-libtiff
-qt-libpng -qt-libmng -qt-libjpeg""
18500c18500
<         qt_flags=""${qt_flags} -nomake examples --no-openssl""
---
>         qt_flags=""${qt_flags} -nomake examples""
18514c18514
<         qt_flags=""${qt_flags} -no-qml-debug --no-openssl""
---
>         qt_flags=""${qt_flags} -no-qml-debug""
 
</pre>"
2559,Resolved,VisIt,Feature,Normal,Support multi-component global node and zone ids/labels,Matt Larsen,"",2.13.0,Mark Miller,03/21/2016,"",0,"",03/21/2016 08:54 pm,09/07/2017 05:20 pm,"","",2.12.3,3 - Medium,3 - Occasional,All,Any,"This is for Engineering users at LLNL. Note that a key part of Engineering users interaction with VisIt is through a python script they have developed called _GrizIt_. The python _GrizIt_ script is designed to allow engineering users to use Griz commands they are familiar with to interact with VisIt.

VisIt's notion of _global_ node and zone ids is confined to a 1-tuple of arbitrary (but typically 32 or 64 bit integral) type. We need to generalize this notion to an n-tuple of arbitrary types. In the conext of Mili, _n_ would be 2. The first component would be a Mili class id, super class or class name (as strings) and the second component would be the number of the element in that collection.

Note that this impacts several spots in the GUI where users have the option of typing in _global_ ids. My suggestion, to make this modification simple, is to simply enhance these text box entries to support space, comma, semicolon and tab delimited values. The first value would be interpreted as the first component of the n-tuple, the 2nd value for the second component, etc. Finally, searches within mesh datastructures to find the node/zone specified by the n-tuple also would need to be enhanced to deal with multi-component matching.

Its concievable that one might want a 2-tuple consisting of a 'char' for the first component and an 'int' for the second. If that proves to be problematic however, its probably ok to assume all components of the n-tuple are the same type."
2562,Resolved,VisIt,Feature,Normal,Support groups of picks,Matt Larsen,"",2.13.0,Mark Miller,03/21/2016,"",0,"",03/21/2016 09:10 pm,09/07/2017 05:10 pm,"","",2.12.3,3 - Medium,3 - Occasional,All,Any,"We would like to enhance pick/query window where entry of picked nodes or zones is done (see below too) to accept strings of the form '1,3,5-10,12,15' to pick/select a group of elements at one time. Another possibility is that a sequence of gui gestures to pick zones or nodes is packaged up to create a _pick group_.

We may want to maintan a stack of recently entered pick strings that represents each group of picks and which can be easily toggled on/off or deleted. On the other hand, a simple toggle may be sufficient here to turn on and off picked/selected nodes/zones. Otherwise, next to the text box where the string specifying the picked/selected zones we could have two buttons, one to use the string to pick/select, the other to use the string to UNpick/UNselect."
2670,Rejected,VisIt,Bug,Normal,VCellMTMD plugin has a zlib built into it,Mark Miller,"",2.13.0,Mark Miller,08/23/2016,"",0,"",08/23/2016 03:23 pm,03/17/2017 01:46 pm,3 - Occasional,2 - Minor Irritation,2.10.0,"","",All,Any,"Ran across this while doing some housekeeping on database plugins

VCelMTMD has the ""info-zip"" implementation of zlib as source code files in our tree.

Anyone know why? Any disagree it *should* use zlib that rest of VisIt uses and we should remove the info-zip sources from our tree"
