#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
2505,Resolved,VisIt,Bug,Normal,Thresholding scatter plots from curve data (from csv file),Kevin Griffin,"",2.13.1,Jim Eliot,01/11/2016,"",100,"",01/11/2016 04:23 am,02/13/2018 12:59 pm,3 - Occasional,4 - Crash / Wrong Results,2.10.0,"","",All,Any,"When using the threshold operator with a scatter plot created from curve data (from a csv file), using the 'Zones from input' option gives weird results.

Here is how I can reproduce the issue:

- The source data is a csv file with three columns that correspond to x_coordinate, y_coordinate and a value.
- I open the csv file using the Plaintext reader. I DO NOT use the option to specify columns 0 and 1 as the x and y coordinates.
- I then create an expression called 'unnamed1' with Definition 'var02'. This will be used for thresholding.
- I create a scatter plot using var00 and var01 as x and y, and var02 as the Color Variable.
- I then apply a threshold operator using the scalar 'unnamed1'.
- When applying the threshold operator, there is an option to output mesh as 'Zones from input' or 'Point mesh'.
  - When using the 'Zones from input' option, the threshold operator outputs weird results.
  - Changing the output to 'Point mesh' gives expected results.

When opening the file, if I use the options of the Plaintext reader to specify that columns 0 and 1 are the x and y coordinates, VisIt creates a point mesh and the thresholding works fine with both threshold output options ('Zones from input' or 'Point mesh').

- I have created a simple .csv file and .session file that reproduces the issue.
- The .session file contains two plots, one that thresholds using 'Zones from input' the other using 'Point mesh'.
- The thresholded plots are different


Having to tick the 'Point Mesh' button in the threshold dialog is not a big deal, but I have encountered some plots where the incorrect method has been used without realising that the output was wrong."
2774,Resolved,VisIt,Bug,Normal,Segfault when plotting large rectilinear grid,Mark Miller,"",2.13.1,Paul Melis,02/24/2017,"",0,"",02/24/2017 09:22 am,03/02/2018 04:25 pm,3 - Occasional,4 - Crash / Wrong Results,2.12.1,"","",Linux,Any,"We have a user that is trying to visualize a 1536x1536x1297 rectilinear grid, specified using an Xdmf file and two HDF5 files (one for grid coordinates and one for the volume data itself).

Loading in Visit 2.12.2 (official binary) works fine, but two cases cause a segfault, in different places as far as I can tell from the logs:

1. Add Mesh plot -> thetacut; Draw
2. Add Volume plot -> Azimuthal Velocity; disable lighting in the volume properties; Draw

I've added set of log files for both cases. Also a dummy xdmf file using the original grid coordinate HDF5 file and a script to generate dummy volume data (I can't share the data itself).

The viz node I'm running this on has 64G memory, and I don't see the usage getting close to the limit."
2924,Resolved,VisIt,Bug,High,VisIt Time Query Pick causes crash when Curve Plot plugin is disabled,Kathleen Biagas,"",2.13.1,Jim Eliot,10/02/2017,"",100,1.0,10/02/2017 05:59 am,03/01/2018 04:37 pm,1 - Exceptional,4 - Crash / Wrong Results,2.12.3,"","",All,Any,"When using the 'Do Time Query' option of the Pick Query, VisIt will crash if the Curve Plot plugin has been disabled.

A better result would be a message indicating that the Curve plot is disabled.

The crash can be avoided by re-enabling the Curve Plot plugin, so is not a big problem.


To reproduce:
- Disable Curve Plot in Plugin Manager, Save Settings and restart VisIt.
- Load a geometry with multiple time steps
- Create a pseudocolor plot
- Navigate to the Query dialog -- Controls --> Query
- Select Pick then tick the 'Do Time Query' option
- Click Query

A dialog pops up with ""VisIt could not create the desired plot"" and then VisIt exits."
2929,Resolved,VisIt,Bug,Normal,Package tarball contains invalid symlinks,Eric Brugger,"",2.13.1,Paul Melis,10/03/2017,"",100,4.0,10/03/2017 07:11 am,03/13/2018 05:41 pm,2 - Rare,2 - Minor Irritation,2.12.3,"","",Linux,Any,"Using the build_visit 2.12.3 script, followed by ""make package"" in visit2.12.3/src results in a tarball that has symlinks pointing to non-existent directories:
<pre>
[paulm@gcn3 VisIt]$ tar tvf visit2_12_3.linux-x86_64.tar.gz|grep icons
lrwxrwxrwx paulm/paulm       0 2017-10-03 11:12 visit2_12_3.linux-x86_64/2.12.3/linux-x86_64/include/visit/gui/icons -> ../common/icons
lrwxrwxrwx paulm/paulm       0 2017-10-03 11:13 visit2_12_3.linux-x86_64/2.12.3/linux-x86_64/include/visit/viewer/main/icons -> ../../common/icons
[paulm@gcn3 VisIt]$ 
</pre>

There is no common/icons dir in the tarball. When untarring the resulting binaries seem to work fine and I don't seem to miss any icons, but EasyBuild trips over the missing symlink destinations when trying to unpack and copy the tarball contents."
2868,Resolved,VisIt,Bug,Normal,SeedMe python module missing from VisIt 2.12.1 onwards on all platform builds,Eric Brugger,"",2.13.0,Amit Chourasia,07/21/2017,"",100,4.0,07/21/2017 12:55 pm,09/06/2017 02:20 pm,4 - Common,4 - Crash / Wrong Results,2.12.1,"","",All,Any,"Hello,
The seedme.py module is NOT installed from VisIt 2.12.1 onwards on all platforms builds. This breaks the SeedMe widget and corresponding functionality.
I see that the requests module which is needed by SeedMe is installed, so I suspect something goes wrong in the build process.

I verified missing module by inspecting the following paths on builds 
Linux: visit/2.12.X/linux-x86_64/lib/python/lib/python2.7/site-packages/ 
Mac: /Applications/VisIt.app/Contents/Resources/2.12.X/darwin-x86_64/lib/python/lib/python2.7/site-packages/ 
Windows: C:/Program Files/LLNL/VisIt 2.12.X/lib/python/lib/site-packages/

In my personal linux build for 2.12.1 the SeedMe module was built correctly. So seems like the pre packed build has some issue.


"
2623,Resolved,VisIt,Bug,Normal,VisIt won't plot cell centered vector data from xdmf files,Kathleen Biagas,"",2.12.3,Amos Manneschmidt,05/31/2016,"",100,1.0,05/31/2016 02:02 pm,06/13/2017 02:10 pm,2 - Rare,4 - Crash / Wrong Results,2.10.0,"","",All,Any,"When trying to import XDMF vectors VisIt does not behave according to the spec. Attached are two XDMF files. One works with VisIt (a 1x1x2 grid with two 3d vector elements stored in a 1x6 array) and the second file does not work with VisIt although it is the same except the grid is expanded out by one cell and one more vector is added on. Both files display properly in Paraview. If one tries to display the vector in the second file the following error appears:  
<pre>
Vector:  ()
viewer: An invalid variable (TESTvariable) was specified.
</pre>

When displaying properly as in Paraview it should appear as below.
!proper_display!"
2672,Resolved,VisIt,Bug,High,No parallel hardware acceleration with existing X servers,Mark Miller,"",2.12.0,John Plate,08/30/2016,"",0,"",08/30/2016 11:45 am,10/25/2016 01:44 pm,5 - Always,4 - Crash / Wrong Results,2.10.3,"","",Linux,Any,"It is not possible to get parallel hardware acceleration with existing X servers.

The bug is in the file engine/main/XDisplay.C in function XDisplay::Initialize:
[...]
    //updated: enabling new logic
    if(!this->launch || (this->xserver = xinit(this->display, user_args)) == -1)
    //if(this->launch && (this->xserver = xinit(this->display, user_args)) == -1)
    {
      return false;
    }
[...]

The ""new logic"" causes the function to fail if no X server should be launched or if the X server fails to launch. The ""old logic"" caused the function to fail if a X server should be launched and it fails.

So this function always fails when existing X servers should be used. This causes that no attempt is made to connect to the display server, see function Engine::SetupDisplay in engine/main/Engine.C. As a result, the parallel engine fails or falls back to software rendering.

My tests with the ""old logic"" were successful, so I propose to simply revoke the ""new logic"".
"
2412,Resolved,VisIt,Bug,Normal,build_visit_BGQ,Kathleen Biagas,"",2.10.2,Jens Henrik Goebbert,10/12/2015,"",0,"",10/12/2015 09:18 am,03/23/2016 03:40 pm,4 - Common,3 - Major Irritation,2.9.2,"","",All,Any,"Hi,

we build VisIt for JUQUEEN and had to fix the following small issues in build_visit_BGQ.

@@ -466,11 +466,11 @@
     fi
     CFLAGSARGS=""""
     if test -n ""$BG_C_OPT_FLAGS"" ; then
-        CFLAGSARGS=""--cflag $BG_C_OPT_FLAGS""
+        CFLAGSARGS=""--cflag \""${BG_C_OPT_FLAGS}\""""
     fi
     CXXFLAGSARGS=""""
     if test -n ""$BG_CXX_OPT_FLAGS"" ; then
-        CXXFLAGSARGS=""--cxxflag $BG_CXX_OPT_FLAGS""
+        CXXFLAGSARGS=""--cxxflag \""${BG_CXX_OPT_FLAGS}\""""
     fi
 
     # Build some packages that require GNU compilers.
@@ -517,11 +517,11 @@
     fi
     CFLAGSARGS=""""
     if test -n ""$BG_C_OPT_FLAGS"" ; then
-        CFLAGSARGS=""--cflags $BG_C_OPT_FLAGS""
+        CFLAGSARGS=""--cflags \""$BG_C_OPT_FLAGS\""""
     fi
     CXXFLAGSARGS=""""
     if test -n ""$BG_CXX_OPT_FLAGS"" ; then
-        CXXFLAGSARGS=""--cxxflags $BG_CXX_OPT_FLAGS""
+        CXXFLAGSARGS=""--cxxflags \""$BG_CXX_OPT_FLAGS\""""
     fi
 
     # Form extra arguments that we'll pass to cmake for VTK.
@@ -577,11 +577,11 @@
     fi
     CFLAGSARGS=""""
     if test -n ""$BG_C_OPT_FLAGS"" ; then
-        CFLAGSARGS=""--cflag $BG_C_OPT_FLAGS""
+        CFLAGSARGS=""--cflag \""$BG_C_OPT_FLAGS\""""
     fi
     CXXFLAGSARGS=""""
     if test -n ""$BG_CXX_OPT_FLAGS"" ; then
-        CXXFLAGSARGS=""--cxxflag $BG_CXX_OPT_FLAGS""
+        CXXFLAGSARGS=""--cxxflag \""$BG_CXX_OPT_FLAGS\""""
     fi
 
     # Call build_visit just to build Ice-T. Use the gnu compilers to build
@@ -652,11 +652,11 @@
     fi
     CFLAGSARGS=""""
     if test -n ""$BG_C_OPT_FLAGS"" ; then
-        CFLAGSARGS=""--cflag $BG_C_OPT_FLAGS""
+        CFLAGSARGS=""--cflag \""$BG_C_OPT_FLAGS\""""
     fi
     CXXFLAGSARGS=""""
     if test -n ""$BG_CXX_OPT_FLAGS"" ; then
-        CXXFLAGSARGS=""--cxxflag $BG_CXX_OPT_FLAGS""
+        CXXFLAGSARGS=""--cxxflag \""$BG_CXX_OPT_FLAGS\""""
     fi
 
     # Build some packages that require GNU compilers.
@@ -698,7 +698,7 @@
         --installation-build-dir ""${INSTALLATION_BUILD_DIR}_BGQ"" \
         --cc $BG_CC $CFLAGSARGS \
         --cxx $BG_CXX $CXXFLAGSARGS $MAKEARGS \
-        --no-thirdparty --no-boost --zlib $IO_PACKAGES \
+        --no-thirdparty --boost --zlib $IO_PACKAGES \
         --parallel --cmake --icet \
         --group $GROUP \
         --database-plugins $VISIT_SELECTED_DATABASE_PLUGINS
@@ -764,7 +764,7 @@
         --installation-build-dir $INSTALLATION_BUILD_DIR \
         --cc $CC $CFLAGSARGS \
         --cxx $CXX $CXXFLAGSARGS $MAKEARGS \
-        --no-thirdparty --no-boost --cmake --vtk $IO_PACKAGES --python \
+        --no-thirdparty --boost --cmake --vtk $IO_PACKAGES --python \
         --group $GROUP \
         --database-plugins $VISIT_SELECTED_DATABASE_PLUGINS
     if [[ $? != 0 ]] ; then
@@ -923,8 +923,8 @@
                 bggnucc) BG_GNU_CC=""${arg}"";;
                 bggnucxx) BG_GNU_CXX=""${arg}"";;
 
-                append-bgmpicflags) BG_C_OPT_FLAGS=""${BG_MPI_C_OPT_FLAGS} ${arg}"";;
-                append-bgmpicxxflags) BG_CXX_OPT_FLAGS=""${BG_MPI_CXX_OPT_FLAGS} ${arg}"";;
+                append-bgmpicflags) BG_MPI_C_OPT_FLAGS=""${BG_MPI_C_OPT_FLAGS} ${arg}"";;
+                append-bgmpicxxflags) BG_MPI_CXX_OPT_FLAGS=""${BG_MPI_CXX_OPT_FLAGS} ${arg}"";;
                 bgmpicflags) BG_MPI_C_OPT_FLAGS=""${arg}"";;
                 bgmpicxxflags) BG_MPI_CXX_OPT_FLAGS=""${arg}"";;
                 bgmpicc) BG_MPI_CC=""${arg}"";;
@@ -1060,5 +1060,5 @@
     return 0
 }
 
-main $@
-exit 0
+main ""$@""
+exit 0
\ No newline at end of file
"
2429,Resolved,VisIt,Bug,Normal,"VisIt engine cannot connect back to viewer, if ...",Brad Whitlock,"",2.10.1,Jens Henrik Goebbert,10/26/2015,"",100,"",10/26/2015 06:03 am,10/27/2015 02:18 pm,3 - Occasional,2 - Minor Irritation,2.9.2,"","",All,Any,"Hi everyone,

VisIt engine cannot connect back to viewer, if login-node is known by different names and IPs for external connections (clients) and internal connections (compute nodes).

The problem has been discussed on the ""VisIt - User Mailing List"" and Brad suggested a fix:
https://elist.ornl.gov/pipermail/visit-users/2015-October/017961.html
This fix works perfect on the JUQUEEN and I hope it can become part of the official VisIt release.

It introduces the command line argument ""-socket-bridge-host"" to set the socket bridge host instead of using ""gethostname(""localhost"").

Attached you find the implementation in common/comm/LaunchService.C for VisIt version 2.9.2.
It works fine on the BlueGene/Q JUQUEEN at Juelich Research Centre in Germany.

Best,
Jens Henrik
"
2432,Resolved,VisIt,Bug,Normal,memory leak in visitgetenv() ,Brad Whitlock,"",2.10.1,Jens Henrik Goebbert,10/27/2015,"",100,"",10/27/2015 11:17 am,10/27/2015 02:30 pm,4 - Common,4 - Crash / Wrong Results,trunk,"","",All,Any,"Hi,

I came across a problem using libsimV2+Fortran+visitgetenv().

It is about the line 427 in visitfortransimV2interface.c:
    sz = (len < *lenv) ? (sz - 1) : (*lenv - 1);

IMHO, it should look like this:
    sz = (len < *lenv) ? (len) : (sz - 1);


From Fortran I call visitgetenv() like this:
      character(len=4096) :: env
      integer :: env_len = 4096
      if (mpi_proc_id == 0) then
        ierr = visItGetEnv(env,env_len); CHKWARN1(ierr, VISIT_OKAY)
      end if  

Hence, it has to ensured, that the string written to env must not be larger than env_len.   
In  visitgetenv() the string to copy is 'src' and its length 'len'.

=> if 'len' is smaller than '*lenv', we can use memcpy to fill 'env'.
else we should not copy anything to 'env'.

Best,
Jens Henrik

"
