#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
3079,Resolved,VisIt,Bug,Normal,Need to put back the work-around for the HiDPI issue,Kevin Griffin,"",2.13.2,Kevin Griffin,05/01/2018,"",100,"",05/01/2018 04:17 pm,05/15/2018 07:03 pm,3 - Occasional,3 - Major Irritation,2.12.3,"","",OSX,Any,Users on OS X 10.12 are experiencing the HiDPI issue that I initially put in for OS X systems greater than 10.11. I made a change to only apply the work-around to OS X 10.11 due to a user having an issue with the fix on their system. Need to do testing on OS X 10.12 and 10.13 systems.
2870,Resolved,VisIt,Bug,Normal,Should Min/max labels also use current plot values?,Mark Miller,"",2.13.1,Kevin Griffin,07/24/2017,"",0,"",07/24/2017 03:21 pm,12/16/2017 03:14 pm,3 - Occasional,2 - Minor Irritation,2.12.3,"","",All,Any,When 'Use Current Plot' is selected for limits in the Pseudocolor plot attributes the legend's limits update but not the Max/Min labels below the legend (see attachment). This caused some confusion with a user recently (Peter Zischka).
2916,Resolved,VisIt,Feature,Normal,Update Detailed list of file formats VisIt supports for SPCTH,Kevin Griffin,"",2.13.1,Kevin Griffin,09/15/2017,"",100,"",09/15/2017 07:21 pm,11/09/2017 06:39 pm,"","",trunk,3 - Medium,3 - Occasional,All,Any,Need to add the SPCTH (Spy) file format to the list of file formats VisIt supports once 2.13.0 is released. (Update http://visitusers.org/index.php?title=Detailed_list_of_file_formats_VisIt_supports)
2969,Resolved,VisIt,Feature,Normal,Patch pyside2,Kevin Griffin,"",2.13.1,Kevin Griffin,11/01/2017,"",100,"",11/01/2017 06:58 pm,12/15/2017 03:50 pm,"","",2.13.0,3 - Medium,3 - Occasional,All,Any,"Create a patch for pyside2 that removes the COLLECT_MODULE_IF_FOUND calls for the multimedia modules.

=========
If we do patch pyside2, we may need to add
set(DISABLE_QtMultimedia 1)
and
set(DISABLE_QtMultimediaWidgets 1)

in place of the COLLECT_MODULE_IF_FOUND calls

Kathleen"
2984,Resolved,VisIt,Feature,Normal,Allow SPCTH reader to process MTSD file formats,Kevin Griffin,"",2.13.1,Kevin Griffin,11/21/2017,"",100,"",11/21/2017 09:07 pm,12/11/2017 04:50 pm,"","",2.13.0,3 - Medium,3 - Occasional,All,Any,"The SPCTH reader subclasses the MTMD file format which requires all time steps and domains to be in a single file. However, in addition to supporting this the SPCTH reader needs to support MTSD file formats. This should be doable by creating a special file extension to indicate that the SPCTH reader should not treat the file as a data file but a file containing a list of MTSD files that should be processed together."
3020,Resolved,VisIt,Bug,Normal,Viewer window not updating properly on OS X 10.13,Kevin Griffin,"",2.13.1,Kevin Griffin,02/27/2018,"",100,"",02/27/2018 12:28 pm,02/28/2018 05:04 pm,3 - Occasional,2 - Minor Irritation,trunk,"","",OSX,Any," Dear all;
    
    Maybe this has come across someone who can give me a pointer in the right direction.
    
    The „behavior“ is somewhat obscure:
    
    I’m on osx (10.13) with a recent (svn) version of visit.
    I can open sources and add plots.
    But the render/viewer window stays blank _until_ I resize the window, or change the screen (3-finger left-right swipe) and back.
    If I manipulate (e.g. rotate) the plot, the viewer/render window is not updated until I resize the window or change the screen.
    This is somewhat mildly annoying.
    
    I had a look in vtkqt and the ViewerWindow but was not able to find the culprit for this behavior.
    I suspect it has something to do with the vtkRenderWindow.
    
    It would be great if anyone knew where to look.
    
    Thanks and best regards,
    Christoph Statz"
2847,Resolved,VisIt,Bug,Normal,xml2plugin generates wrong function prototype for avtDatabaseWriter,Kathleen Biagas,"",2.13.0,Kevin Griffin,06/14/2017,"",100,0.1,06/14/2017 02:37 pm,08/03/2017 09:06 pm,3 - Occasional,2 - Minor Irritation,2.12.2,"","",All,Any,"The avt*Writer file generated by xml2plugin creates the wrong function signature for WriterHeaders.

virtual void   WriteHeaders(const avtDatabaseMetaData *, std::vector<std::string> &, std::vector<std::string> &, std::vector<std::string> &); => should be=> virtual void  WriteHeaders(const avtDatabaseMetaData *, const std::vector<std::string> &, const std::vector<std::string> &, const std::vector<std::string> &);"
2516,Rejected,VisIt,Feature,Normal,Add IceT option in host profile file and/or GUI,Kevin Griffin,"",2.12.2,Kevin Griffin,01/26/2016,"",0,"",01/26/2016 08:55 pm,03/22/2017 05:02 pm,"","",2.12.1,3 - Medium,3 - Occasional,All,Any,Add an option in the host profile and/or GUI to disable the usage of IceT.
2733,Resolved,VisIt,Bug,Normal,SPH Resample producing holes for data with extents less than 1,Kevin Griffin,"",2.12.1,Kevin Griffin,12/20/2016,"",100,"",12/20/2016 10:46 pm,12/22/2016 05:20 pm,3 - Occasional,2 - Minor Irritation,2.12.0,"","",All,Any,"For data with extents less than 1, SPH resample operator produces holes in the rendered image."
2448,Rejected,VisIt,Bug,High,VisIt crashes when using Streamlines ,Kevin Griffin,"",2.12.0,Kevin Griffin,11/06/2015,"",0,"",11/06/2015 02:57 pm,10/25/2016 01:42 pm,3 - Occasional,4 - Crash / Wrong Results,2.8.2,"","",OSX,Any,VisIt exits when using Streamlines and the time slider on an MFEM dataset (after executing a few time steps). There are no errors generated or core dumps. Once streamlines are removed the user is able to step through the data. This was reported by Brian Weston who was running 2.8.2 in client/server mode on OSX connecting to the RZ.
