#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
870,Resolved,VisIt,Bug,Normal,build_visit: --flags-debug support has atrophied,Kathleen Biagas,"",2.13.1,Cyrus Harrison,10/05/2011,"",100,"",10/05/2011 06:33 pm,03/02/2018 03:39 pm,3 - Occasional,2 - Minor Irritation,2.3.0,"","",All,Any,"When this flag is on:
We do pass '-g' as compiler flag - but for builds of third party libs that use cmake & for VisIt itself, we should use -DCMAKE_BUILD_TYPE=Debug to get all of the proper debug flags.

"
162,Resolved,VisIt,Feature,Normal,Ability to pick on line meshes,Kathleen Biagas,"",2.13.0,Cyrus Harrison,06/21/2010,"",100,"",06/21/2010 07:36 pm,09/14/2017 12:03 pm,"","",2.12.1,3 - Medium,3 - Occasional,All,Any,"rm-id: 35
rm-submitter: Kathleen Bonnell
rm-submit-date: 05/07/2010 11:19 am

Currently pick won't work on a mesh consisting only of lines ...

Reported and requested by Olivier Cessenat

"
173,Resolved,VisIt,Feature,Normal,Highlighed zone selected by pick,Matt Larsen,"",2.12.0,Cyrus Harrison,06/22/2010,"",0,"",06/22/2010 12:58 pm,10/25/2016 01:53 pm,"","","",2 - Low,3 - Occasional,All,DOE/ASC,"Bob Corey requests this & the ability to limit pick by zone type. 
Attached images show examples of what the zone highlighting could look look like.
"
1174,Resolved,VisIt,Feature,Normal,distribute numpy w/ VisIt,Cyrus Harrison,"",2.12.0,Cyrus Harrison,08/21/2012,"",0,"",08/21/2012 12:04 pm,11/01/2016 01:07 pm,"","","",4 - High,4 - Common,All,Any,For better support in python filters & to support passing ndarrays via pylibsim.
129,Resolved,VisIt,Feature,Normal,3D Line Annotation object,Kathleen Biagas,"",2.10,Cyrus Harrison,"","",100,2.0,06/21/2010 07:16 pm,07/14/2015 12:39 am,"","","",3 - Medium,3 - Occasional,All,DOE/ASC,"cq-id: VisIt00008881
cq-submitter: Cyrus Harrison
cq-submit-date: 02/06/09

Jose Milovich requested a 3D Line Annotation Object so he can embedded it easily with his data."
54,Resolved,VisIt,Bug,High,Prevent browse of filesystem when exporting in client/server mode,Kathleen Biagas,"",2.8,Cyrus Harrison,"","",0,4.0,06/21/2010 07:15 pm,04/23/2014 07:04 pm,3 - Occasional,4 - Crash / Wrong Results,< 1.12,"","",All,DOE/ASC,"cq-id: VisIt00008848
cq-submitter: Eric Brugger
cq-submit-date: 12/15/08

This was the original problem repoted by Jose.

<pre>
Jose Milovich was running client server and he wanted to export a database in VTK format.
He couldn't find the file after he saved it. It turned out when you select the directory
to store the file, it shows you the file system on the local machine and not the
remote machine (not surprisingly). He choose a directory that existed on the local
machine, but not on the remote machine so the file did not get saved. We should
either show the directory system on the remote machine or make it clear that it will
end up on the remote machine and not let the user browse the file system to select
the directory. Jose also thought that the default should be the same directory where
the data was located, not the users home directory on the remote machine.
</pre>

It turns out fixing this in general can be quite difficult involving reasoning backwards from the plot to be exported, which engine the plot is associated with, then the host that engine is running on, then bringing up a file browser remotely connected to that filesystem, etc.

But, something simple we can do is to prevent attempts to browse the filesystem when in client/server mode by graying out (disabling) the browse button. This will prevent users from being lulled into incorrectly thinking they are browsing the remote (engine) filesystem.
"
423,Resolved,VisIt,Feature,Normal,Check Plot3D support along with VTK Upgrade,Kathleen Biagas,"",2.8,Cyrus Harrison,10/13/2010,"",0,"",10/13/2010 06:04 pm,08/20/2014 02:23 am,"","","",2 - Low,2 - Rare,All,Any,When we upgrade VTK we should check if the new version has a reader that supports Plot3D files with fortran binary data.
68,Resolved,VisIt,Bug,Normal,CMFE problems on svn trunk,Kathleen Biagas,"",2.7,Cyrus Harrison,"","",0,1.0,06/21/2010 07:15 pm,07/03/2013 05:57 pm,3 - Occasional,3 - Major Irritation,2.0.0,"","",All,DOE/ASC,"cq-id: VisIt00008911
cq-submitter: Brad Whitlock
cq-submit-date: 03/23/09

Part 1
======
1. Open dbA00.pdb from the test case data
2. Create an expression: diff = <mesh/ireg> - conn_cmfe(</path/to/dbA00.pdb[-1]id:mesh/ireg>, mesh)
   Be sure to put the right path to dbA00.pdb in the expression
3. Create a Pseudocolor plot of diff and click Draw

VisIt will issue an error: ""The databases cannot be compared because they have a different number of domains""

This is just not true and the expression works as it should in VisIt 1.11.0. Maybe VisIt 2.0z is choking on this file because it has multiple meshes.

I ran into this because I was testing some other CMFE stuff because Jose Milovich was having problems and I decided to start with the time difference expressions that I had created in the User Manual.

Part 2
======
When I tried using the ""time_derivative"" expressions in the plot menu instead of my expression, I got a different error: ""An invalid variable (time_derivative) was specified."""
1237,Rejected,VisIt,Bug,Normal,disable lighting for GPU vol rendering?,Mark Miller,"",2.7,Cyrus Harrison,11/11/2012,"",0,"",11/11/2012 05:23 pm,08/14/2013 01:39 pm,3 - Occasional,4 - Crash / Wrong Results,2.5.2,"","",All,Any," data sets are usually sampled, lighting makes everything look way too black.

This is the out of the box exp people get with our volume renderer."
1252,Resolved,VisIt,Feature,Normal,namescheme support for Dan Laney,Mark Miller,"",2.7,Cyrus Harrison,11/28/2012,"",0,"",11/28/2012 05:51 pm,08/14/2013 07:30 pm,"","","",4 - High,4 - Common,All,Any,"Dan is implementing namescheme support in his silo output files. 

We expect to support this with a new Silo release, hopefully for VisIt 2.6.1

Prior to our supported release, Dan would like to be able to test reading his new files with VisIt. 
We need to contact him and provide beta build of VisIt to close the loop.

Here are two expected checks:
1) Make sure new general namescheme support works. 
2) In some cases, his mesh has empty domains, we need to see how VisIt handles this."
