#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
2363,Resolved,VisIt,Bug,Normal,MIR and ThreeSlice problem,Eric Brugger,"",2.10,Gunther Weber,08/18/2015,"",100,3.0,08/18/2015 08:03 pm,08/25/2015 12:41 pm,3 - Occasional,4 - Crash / Wrong Results,2.9.2,"","",All,DOE/SciDAC,"On the Chombo file /project/projectdirs/visit/data/MIR_ThreeSlice_Problem/phi_2lev.3d.hdf5 (NERSC machines), MIR does not work properly with the ThreeSlice operator. Using the ThreeSlice operator and turning one of the materials off produces the error: 

VisIt: Error - Pseudocolor:  ()
viewer: No input was defined for this filter.

Without ThreeSlice operator, everything works fine. Here is a Python script to reproduce the problem:

OpenDatabase(""/project/projectdirs/visit/data/MIR_ThreeSlice_Problem/phi_2lev.3d.hdf5"")
DeleteAllPlots()
AddPlot(""Pseudocolor"", ""phi"")

DrawPlots()
SaveWindow()
# Works

silr = SILRestriction()
mats = silr.SetsInCategory('materials')
silr.TurnOffAll()
silr.TurnOnSet(mats[0])
SetPlotSILRestriction(silr)
SaveWindow()
# Works

silr.TurnOffAll()
silr.TurnOnSet(mats[1])
SetPlotSILRestriction(silr)
SaveWindow()
# Works

AddOperator(""ThreeSlice"")
ThreeSliceAtts = ThreeSliceAttributes()
ThreeSliceAtts.x = 32
ThreeSliceAtts.y = 32
ThreeSliceAtts.z = 32
SetOperatorOptions(ThreeSliceAtts)
silr.TurnOnAll()
SetPlotSILRestriction(silr)
DrawPlots()
SaveWindow()
# Works

silr = SILRestriction()
mats = silr.SetsInCategory('materials')
silr.TurnOffAll()
silr.TurnOnSet(mats[0])
SetPlotSILRestriction(silr)
SaveWindow()
# Fails with:
#  VisIt: Error - Pseudocolor:  ()
#  viewer: No input was defined for this filter.

silr.TurnOffAll()
silr.TurnOnSet(mats[1])
SetPlotSILRestriction(silr)
DrawPlots()
SaveWindow()
# Fails with:
#  VisIt: Error - Pseudocolor:  ()
#  viewer: No input was defined for this filter.
"
2139,Resolved,VisIt,Bug,Normal,Lineout produces plot with no data when applied after Displace operator,Kathleen Biagas,"",2.9,Gunther Weber,02/09/2015,"",0,1.0,02/09/2015 04:17 pm,02/09/2015 07:29 pm,3 - Occasional,2 - Minor Irritation,2.8.2,"","",All,Any,"This script:

OpenDatabase(""plt.density4000.1.hydrogen.2d.map.hdf5"")
DefineVectorExpression(""disp"", ""{x, y} - coords(Mesh)"")
AddPlot(""Pseudocolor"", ""x"")
AddOperator(""Displace"")
atts = DisplaceAttributes()
atts.variable = ""disp""
SetOperatorOptions(atts)
DrawPlots()
Lineout((1.2,0.5), (1.7, 0.5))

results in a Lineout plot with no data even though it clearly is within the domain after displace is applied. (Mouse lineout has the same issue)."
418,Resolved,VisIt,Bug,High,ThreeSlice crashes on MIR data if one material is disabled and there are blocks that are completely turned off,Jeremy Meredith,"",2.1.1,Gunther Weber,10/07/2010,"",0,"",10/07/2010 07:00 pm,10/08/2010 05:44 pm,5 - Always,4 - Crash / Wrong Results,trunk,"","",All,DOE/SciDAC,"An APDEC/ANAG user encountered a problem with using the ThreeSlice operator together with material interface reconstruction. As soon as he turned of one of the materials, the VisIt engine will crash.

Due to its size, I cannot upload the file. It is available at /project/projectdirs/visit/plot.nx128.step0000375.3d.hdf5.gz on NERSC machines.

Reproducing the problem:
- Open dataset
- Create Pseudocolor plot of any variable (e.g. ""temperature-fluid"")
- Add ThreeSlice operator
- Go to material selection, disable mat2
- Draw plot
-> Engine crashes

Additional information:
- At least once, the crash seemed to occur when a GetCell call on a vtkDataSet return 0 as result (even though GetNumberOfCells returned a value different from zero)
- Using the ""-dump"" option, I did get data sets with point data but with no ""CELLS"" keyword/information. These data sets seemed to correspond to domains that are comprised entirely of the material that is turned off.
-> This leads me to believe that it may be related to optimizations we added for handling domains in a data set that are comprised entirely of a single material.

I found the problem both in 2.0.1 and the current trunk. I also reproduced the problem on Linux (64bit) and MacOS (10.6-64bit).
"
2673,Pending,VisIt,Bug,High,Subset plot does not show all boundaries for AMR data set,Eric Brugger,"",2.13.3,Gunther Weber,08/30/2016,"",0,"",08/30/2016 02:38 pm,05/10/2018 08:36 pm,5 - Always,4 - Crash / Wrong Results,2.10.0,"","",All,DOE/SciDAC,"The Subset plot (of levels) does not show all boundaries for a 2D AMR data set, even if ""Draw internal surfaces""  is enabled. Running the enabled Python script results in visit0006.png which is missing a lot of boundaries (""Draw internal surfaces"" disabled) and visit0007.png which still misses part of the black boundary lines of level 0 (""Draw internal surfaces"" disabled). density_plot02400_XY.png shows the correct result.

---- Python script ----
DeleteAllPlots()
OpenDatabase(""plt00000/Header"")
AddPlot(""Pseudocolor"", ""density"")
AddPlot(""Subset"", ""levels"")
SubsetAtts = SubsetAttributes()
SubsetAtts.colorType = SubsetAtts.ColorByMultipleColors
SubsetAtts.lineStyle = SubsetAtts.SOLID
SubsetAtts.lineWidth = 3
SubsetAtts.SetMultiColor(0, (0, 0, 0, 255))
SubsetAtts.SetMultiColor(1, (189, 255, 118, 255))
SubsetAtts.SetMultiColor(2, (154, 252, 243, 255))
SubsetAtts.wireframe = 1
SubsetAtts.drawInternal = 0
SetPlotOptions(SubsetAtts)
DrawPlots()
SaveWindow()
SubsetAtts.drawInternal = 1
SetPlotOptions(SubsetAtts)
DrawPlots()
SaveWindow()"
422,Developer Review,VisIt,Feature,Low,AMRVis visual spreadsheets,"","","",Gunther Weber,10/13/2010,"",0,"",10/13/2010 06:03 pm,11/02/2010 03:03 pm,"","","",3 - Medium,3 - Occasional,All,Any,"The Spreadsheet plot in VisIt behaves like the ChomboVis spreadsheets in that it shows a single box/patch. AMRVis had some capbilities were a spreadsheet is more a slice to the data and can show transitions between levels. More information about this topic can be found here: http://www.sci.utah.edu/vacetwiki/images/4/47/Visual_spreadsheets.doc

NOTE: This is a VACET project that has been delayed for quite a while. Before possibly starting the issue should be re-evaluated with LBNL CCSE."
424,Pending,VisIt,Feature,Normal,Improved ghost data creation for AMR data,"","","",Gunther Weber,10/13/2010,"",0,"",10/13/2010 06:07 pm,11/02/2010 03:03 pm,"","","",3 - Medium,3 - Occasional,All,Any,"Some discontinuities were noted with AMR data attributed to poor handling of ghost data. After searching, there is a fundamental problem with VisIt's ghost data generation routines. It assumes that patches align such that AMR patches share complete boundary faces, which is not a valid assumption. This came out recently from a conversation with Jeremy Meredith, who wrote the original version. His comment was ""back to the drawing board"" with respect to the original implementation. Estimate: 6 weeks. Is this our chance to fix general t-junction problem at coarse/fine level boundaries? Estimate: 3 months)

NOTE: It may make sense to address this issue together with ghost data generation for the AMR Stitch cell operator."
800,Pending,VisIt,Bug,Normal,Time slider always shows 0 if cycle information cannot be determined,Mark Miller,"","",Gunther Weber,07/28/2011,"",0,"",07/28/2011 12:53 pm,09/12/2011 10:55 pm,3 - Occasional,2 - Minor Irritation,2.3.0,"","",All,DOE,"If the cycle information cannot be determined from either filename or information in the file for multiple files in a .visit file, the time slider always shows ""0"". In this case it would be more useful if the time slider showed the time step number.(I am listing this as  bug because I believe that this used to be VisIt's behavior a while back, and this no longer seems to work."
1648,Resolved,VisIt,Bug,Normal,Weighted Variable Sum/Average Query results in inf/nan where sum produces a ,Kathleen Biagas,"","",Gunther Weber,11/07/2013,"",0,"",11/07/2013 02:27 pm,09/16/2014 11:34 am,3 - Occasional,4 - Crash / Wrong Results,2.7.0,"","",All,Any,"On the attached data set the Variable Sum query returns a reasonable value while Weighted Variable Sum/Average return inf/nan. This seems to be a numerical issue. If I scale the the spatial extents by 1e-20 in all directions, I do get ""actual floating point"" values."
1717,Pending,VisIt,Bug,Normal,CLI window does not close when GUI terminated,Harinarayan Krishnan,"","",Gunther Weber,01/28/2014,"",0,"",01/28/2014 09:01 pm,02/10/2014 08:03 pm,3 - Occasional,2 - Minor Irritation,2.7.0,"","",All,Any,"When closing VisIt, the CLI no longer terminates and CLI windows stick around until they are closed manually. This seems to happen since around the 2.7.0 release.

To reproduce:
- Start VisIt
- Controls->Launch CLI
- Quit VisIt
-> CLI window persists"
1770,Pending,VisIt,Bug,Normal,Expression evaluated incorrectly,"","","",Gunther Weber,03/12/2014,"",0,"",03/12/2014 04:59 pm,03/25/2014 12:40 pm,3 - Occasional,4 - Crash / Wrong Results,2.7.1,"","",All,Any,"The expression ""array_decompose(grad_tensor_diagonal, 0) + array_decompose(grad_tensor_diagonal, 1)"" is incorrectly evaluated as ""2*array_decompose(grad_tensor_diagonal, 0)"" instead of the proper sum. According to Cyrus, this error is due to how the expression parser caches variable names and does not take non-variable arguments into account.

To reproduce use the following script:

OpenDatabase(""data/noise.silo"")
DefineScalarExpression(""comp0"", ""array_decompose(grad_tensor_diagonal, 0)"")
DefineScalarExpression(""comp1"", ""array_decompose(grad_tensor_diagonal, 1)"")
DefineScalarExpression(""sum0"", ""array_decompose(grad_tensor_diagonal, 0) + array_decompose(grad_tensor_diagonal, 1)"")
DefineScalarExpression(""sum1"", ""comp0 + comp1"")
DefineScalarExpression(""test"", ""2*comp0"")
DefineScalarExpression(""diff0"", ""abs(sum1-sum0)"")
DefineScalarExpression(""diff1"", ""test-sum0"")
AddPlot(""Pseudocolor"", ""diff0"")
DrawPlots()
ChangeActivePlotsVar(""diff1"")

diff0 should be zero everywhere but it is not. diff1 should differ from zero, but is currently evaluating to constant zero.
"
