#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
999,Resolved,VisIt,Feature,High,Add UNC path support on Windows.,Kathleen Biagas,"",2.13.2,Brad Whitlock,03/21/2012,"",100,"",03/21/2012 01:20 pm,05/22/2018 02:18 pm,"","",2.12.1,4 - High,4 - Common,Windows,Any,"Al Nichols reported that VisIt does not handle UNC-style paths on Windows. A UNC path is apparently a slightly different form of path that helps a Windows computer access files shared on a network. They are of the form: \\server\path\to\file.ext

We must be doing some drive-related funny-business that's making this not work. Perhaps the problem is only browsing the files in the mdserver since we pass down a string for filenames. 

Al wants VisIt to support this style of path in the Windows version of VisIt. "
3009,Resolved,VisIt,Bug,Normal,Crash creating lineout.,Kathleen Biagas,"",2.13.1,Brad Whitlock,02/08/2018,"",100,1.0,02/08/2018 04:08 pm,02/26/2018 01:14 pm,3 - Occasional,4 - Crash / Wrong Results,2.12.3,"","",All,Any,"I ran a short script I was making for debugging and found that it had some other problems that caused VisIt to crash. I tried the trunk and 2.13 and both crash.

./visit -cli -nowin -np 2 -dump -s lineout.py 

<code><pre>
OpenDatabase(""noise.silo"")
AddPlot(""Pseudocolor"", ""hgslice"")
DrawPlots()
Lineout((0., 0., 0.), (10., 10., 0.))
SetActiveWindow(2)
SaveWindow()
</pre></code>

Rank 1:
<code><pre>
(lldb) bt
* thread #1, queue = 'com.apple.main-thread', stop reason = signal SIGKILL
  * frame #0: 0x000000010f5dba8d libmpich.10.dylib`MPIDI_CH3I_Progress + 1677
    frame #1: 0x000000010f588bcd libmpich.10.dylib`MPIC_Recv + 429
    frame #2: 0x000000010f58a0b7 libmpich.10.dylib`MPIC_Recv_ft + 135
    frame #3: 0x000000010f612fbf libmpich.10.dylib`MPIR_Bcast_binomial + 703
    frame #4: 0x000000010f6125dd libmpich.10.dylib`MPIR_Bcast_intra + 861
    frame #5: 0x000000010f614434 libmpich.10.dylib`MPIR_Bcast_impl + 132
    frame #6: 0x000000010f60ef3f libmpich.10.dylib`MPIR_Allreduce_intra + 1023
    frame #7: 0x000000010f610d64 libmpich.10.dylib`MPIR_Allreduce_impl + 148
    frame #8: 0x000000010f4e69af libpmpich.10.dylib`MPI_Allreduce + 1983
    frame #9: 0x000000011179760b libavtpipeline_par.dylib`avtParallelContext::GetUniqueMessageTags(this=0x0000000111840920, tags=0x00007fff5073855c, ntags=3) at avtParallelContext.C:2435
    frame #10: 0x0000000111791b05 libavtpipeline_par.dylib`GetUniqueMessageTags(tags=0x00007fff5073855c, ntags=3) at avtParallel.C:1461
    frame #11: 0x0000000110dcf8e5 libavtfilters_par.dylib`avtCurveConstructorFilter::Execute(this=0x00007fcdb0c50b00) at avtCurveConstructorFilter.C:201
</pre></code> 
"
3014,Resolved,VisIt,Bug,Normal,Audit query over time test for issues.,Kathleen Biagas,"",2.13.1,Brad Whitlock,02/14/2018,"",100,"",02/14/2018 06:30 pm,03/05/2018 04:05 pm,3 - Occasional,3 - Major Irritation,2.12.3,"","",All,Any,"I've been running the test suite quite a bit with --mode=scalable,parallel,icet and tests/queries/queriesOverTime.py is failing on/off for me. Partway through, and it varies, there will be a blank image and then the other images are okay. This suggests to me that there may be an engine crash and it gets restarted.

Also, when I ran with --vargs=""-debug 5 -dump"", I'd sometimes see a crash when VisIt was trying to write the dump file for the avtMultiCurveFilter.

This was on surface with a release build.
"
3022,Resolved,VisIt,Bug,Normal,130K domain dataset causes machine to run out of memory.,Brad Whitlock,"",2.13.1,Brad Whitlock,02/27/2018,"",100,"",02/27/2018 05:57 pm,03/19/2018 03:05 pm,3 - Occasional,2 - Minor Irritation,2.12.3,"","",All,Any,"I have a 130K dataset that is 1.6Gb and plot3d. It has a ton of small 9x9x9 domains (not ideal). When I run on a Mac with 64Gb memory using 8 engines, I see memory usage get huge to the point that the machine runs out of memory and freezes up.

I was making a Subset plot of domains and forcing SR mode before clicking the Draw button. I noted in top that the viewer at some point grows to beyond 15Gb of memory usage. We're supposed to be sending it an SR image, which should not require that kind of memory usage.

I later reduced the number of domains to 1/2 using the Subset window and used the Mac's Instruments program to measure viewer memory allocations. I found that 1) the parallel axis colleague in the vis window is trying to create 130k axes and we're not even in parallel coordinates mode and 2) the legend for the Subset window is creating 130K text actors for the legend.

I have a fix for number 1."
1950,Resolved,VisIt,Bug,Normal,Save window resolution limited to screen resolution.,Kathleen Biagas,"",2.13.0,Brad Whitlock,08/13/2014,"",100,"",08/13/2014 12:20 pm,10/23/2017 11:22 am,3 - Occasional,3 - Major Irritation,2.7.3,"","",Windows,Any,"Several users on the visitusers.org forum have reported that saving images with screen capture off on Windows causes saved images to be limited to the resolution of the Windows desktop screen.

http://visitusers.org/forum/YaBB.pl?num=1402500180"
2896,Resolved,VisIt,Bug,Normal,Crash in mdserver when reading Exodus data on Mac.,Brad Whitlock,"",2.13.0,Brad Whitlock,08/23/2017,"",100,"",08/23/2017 06:21 pm,08/23/2017 06:56 pm,3 - Occasional,4 - Crash / Wrong Results,2.12.3,"","",OSX,Any,"I run into a problem on Mac where we build HDF4 and NETCDF as shared libraries. When I try and read an Exodus file, the mdserver crashes. Run visit -o foo.exo

Apparently, things are going fine through the NETCDF library and then when trying to call NC_var_shape, the mdserver crashes. The reported crash is inside libmfhdf.dylib, which is an HDF4 shared library! That file is defining some NETCDF functions!!! IT seems to me that HDF4 should not be defining HDF4 functions. Also, we don't link the Exodus or NETCDF readers with HDF4. IF we load any HDF4 plugins (like Enzo or ZeusMP) then the NC_var_shape from HDF4 is being called instead of the symbol from libnetcdf.6.dylib.

Maybe libmfhdf could be patched in build_visit so it does not define NETCDF symbols.

<code><pre>
optimusprime:lib bjw$ nm libmfhdf.dylib | grep ""NC_var_shape""
0000000000018f30 T _NC_var_shape

(lldb) bt
* thread #1, queue = 'com.apple.main-thread', stop reason = EXC_BAD_ACCESS (code=1, address=0x452)
  * frame #0: 0x00000001087e10ad libmfhdf.dylib`NC_var_shape + 381
    frame #1: 0x00000001092889f4 libnetcdf.6.dylib`nc_get_NC + 3556
    frame #2: 0x0000000109269cb8 libnetcdf.6.dylib`nc3__open_mp + 216
    frame #3: 0x00000001092563a0 libnetcdf.6.dylib`nc_open_file + 560
    frame #4: 0x00000001091d5d59 libMExodusDatabase.dylib`avtExodusFileFormat::GetFileHandle(this=0x00000001040353d0) at avtExodusFileFormat.C:1568
    frame #5: 0x00000001091d7c84 libMExodusDatabase.dylib`avtExodusFileFormat::GetTimesteps(this=0x00000001040353d0, ntimes=0x00007fff5fbf7194, times=0x0000000000000000) at avtEx
</pre></code>
"
2587,Resolved,VisIt,Bug,Normal,Use of expressions in situ causes crash due to failed dynamic_casts.,Brad Whitlock,"",2.12.0,Brad Whitlock,04/07/2016,"",100,"",04/07/2016 11:09 pm,10/28/2016 05:07 pm,4 - Common,5 - Very Serious,2.10.0,"","",All,Any,"I'm was running on titan using a statically linked VisIt built using the Intel compiler. I used the libsimV2_static_par.a to link against a fortran simulation and tried using expressions to set up some plots via a session file and VisItRestoreSessions. The simulation crashed in the expression evaluator filter on a dynamic_cast. I changed how I link so the C++ compiler links the whole thing and that made no difference.

This problem can be replicated using the batch.c sim example with some small changes."
2013,Resolved,VisIt,Bug,Normal,Setting Contour plot multicolor value via Python scripting can lead to out of range error.,Kathleen Biagas,"",2.11.0,Brad Whitlock,10/06/2014,"",0,"",10/06/2014 08:22 pm,06/28/2016 03:37 pm,2 - Rare,2 - Minor Irritation,2.7.3,"","",All,Any,"This code was derived from an example at visitusers.org's forum. The loop is able to complete successfully twice but on the last iteration, the CLI issues an error message about the index for the multicolor being invalid and the code fails. The error message is something like: ""index (8) exceeds the maximum (7).""

<pre>
OpenDatabase(""noise.silo"")
AddPlot(""Contour"", ""hardyglobal"", 1, 1)
DrawPlots()

Sets = [[1,5.5,11],[1,5.5,11],[1,5.5,8]]
for r in Sets :
	print ""******************"", r, ""*********************""
    	p = ContourAttributes()
	p.contourMethod = p.Level  # Level, Value, Percent
	p.contourNLevels=r[2]
	p.colorType = p.ColorByMultipleColors
	p.singleColor = (255, 0, 0, 25)
	p.SetMultiColor(0, (255,0,0,64))
	p.SetMultiColor(1, (0,255,0,64))
	p.SetMultiColor(2, (0,0,255,64))
	p.SetMultiColor(3, (0,255,255,64))
	p.SetMultiColor(4, (255,0,255,64))
	p.SetMultiColor(5, (255,255,0,64))
	p.SetMultiColor(6, (255, 135, 0, 255))
	p.SetMultiColor(7, (255, 0, 135, 255))
	if r[2] > 8 :
		p.SetMultiColor(8, (168, 168, 168, 255))
		p.SetMultiColor(9, (255, 68, 68, 255))
		p.SetMultiColor(10, (99, 255, 99, 255))

	p.min=r[0]
	p.minFlag=1
	p.max=r[1]
	p.maxFlag=1
        print p
	SetPlotOptions(p)
        SaveWindow()
</pre>"
2017,Resolved,VisIt,Bug,High,viewercore introduces _ser library dependencies into simV2runtime_par.,Brad Whitlock,"",2.11.0,Brad Whitlock,10/09/2014,"",100,"",10/09/2014 03:40 pm,06/28/2016 03:37 pm,3 - Occasional,3 - Major Irritation,2.7.3,"","",All,Any,"The viewercore library contains the core parts of the viewer and it is used to add viewer functionality to libsim. Since viewercore relies on some AVT stuff and was destined for the viewer, it ends up linking with some _ser avt libraries. When viewercore is linked into the parallel simV2runtime_par library, it brings along its _ser dependencies, even though we really want only the _par versions of the avt libraries.

The best thing might be to build the viewercore sources directly into the simV2runtime libraries instead of linking with viewercore. This would permit us to use the _ser and _par libraries that we want explicitly. We could also omit files like ViewerFileServer and ViewerEngineManager, which are not needed by the simV2runtime, and have some _ser dependencies of their own due to libraries like engineproxy. Furthermore, by not using some of those classes, we could revert to not building libraries like mdserverrpc, mdserverproxy, launcherrpc, launcherproxy, when we're doing engine-only builds.

As things stand on the trunk, engine-only builds are broken because the simv2 runtimes can't be linked with viewercore, which is not built."
2590,Rejected,VisIt,Bug,Normal,Pseudocolor issues a bunch of warnings when Auto apply is enabled.,"","",2.11.0,Brad Whitlock,04/08/2016,"",0,"",04/08/2016 05:39 pm,06/28/2016 03:39 pm,4 - Common,3 - Major Irritation,2.10.0,"","",All,Any,"Make a Pseudocolor plot. Turn on auto apply. Double click the plot in the plot list to open the window. When I did this, I got a bunch of warning messages.

Check the window for proper use of blockSignals.
Check the window's GetCurrentValues method for correctness.
Check the window's slot functions so they don't cause updates to the window (SetUpdate(false))


The value(s) for 'Opacity Min' were invalid. Resetting to the last good value(s) of 0.

Shortly thereafter, the following occured...

The value(s) for 'Opacity Max' were invalid. Resetting to the last good value(s) of 1.

Shortly thereafter, the following occured...

The value(s) for 'tube radius' were invalid. Resetting to the last good value(s) of 0.005.

Shortly thereafter, the following occured...

The value(s) for 'Tube variable radius factor' were invalid. Resetting to the last good value(s) of 10.

Shortly thereafter, the following occured...

The value(s) for 'endPoint radius' were invalid. Resetting to the last good value(s) of 0.05.

Shortly thereafter, the following occured...

The value(s) for 'endPoint ratio' were invalid. Resetting to the last good value(s) of 5."
