#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
3078,Resolved,VisIt,Bug,Normal,build_visit: issue building hdf5 (and silo) on blueos,Cyrus Harrison,"",2.13.2,Cyrus Harrison,04/30/2018,"",0,"",04/30/2018 02:02 pm,05/22/2018 07:23 pm,3 - Occasional,2 - Minor Irritation,2.13.0,"","",All,Any,"Building HDF5 (~15 minutes)
Unzipping/Untarring hdf5-1.8.14.tar.gz . . .
/nfs/tmp2/cyrush/2018.04.visit.sierra/hdf5-1.8.14/build_serial /nfs/tmp2/cyrush/2018.04.visit.sierra/hdf5-1.8.14
checking for a BSD-compatible install... /usr/bin/install -c
checking whether build environment is sane... yes
checking for a thread-safe mkdir -p... /usr/bin/mkdir -p
checking for gawk... gawk
checking whether make sets $(MAKE)... yes
checking whether make supports nested variables... yes
checking whether make supports nested variables... (cached) yes
checking whether to enable maintainer-specific portions of Makefiles... no
checking build system type... ../bin/config.guess: unable to guess system type

This script, last modified 2008-01-23, has failed to recognize
the operating system you are using. It is advised that you
download the most up to date version of the config scripts from

  http://git.savannah.gnu.org/gitweb/?p=config.git;a=blob_plain;f=config.guess;hb=HEAD
and
  http://git.savannah.gnu.org/gitweb/?p=config.git;a=blob_plain;f=config.sub;hb=HEAD

If the version you run (../bin/config.guess) is already up to date, please
send the following data and any information you think might be
pertinent to <config-patches@gnu.org> in order to provide the needed
information to handle your system.

=======

To fix we need to add something like the following (from the Axom project) to the config line:

ac_cv_build=powerpc64le-unknown-linux-gnu


NOTE: This also undermines silo. 



"
3106,Resolved,VisIt,Bug,Immediate,silo vs blueprint issue,Cyrus Harrison,"",2.13.2,Cyrus Harrison,05/15/2018,"",0,"",05/15/2018 08:00 pm,05/22/2018 07:22 pm,3 - Occasional,5 - Very Serious,2.13.0,"","",All,Any,"bug in exception forwarding logic in blueprint is undermining silo files named "".root""
"
2746,Resolved,VisIt,Bug,Normal,revisit quad rendering issues,"","",2.13.1,Cyrus Harrison,01/27/2017,"",0,"",01/27/2017 12:43 pm,03/01/2018 12:06 pm,3 - Occasional,2 - Minor Irritation,2.12.0,"","",All,Any,"Hi Folks,

I know we have talked about this in depth before (http://visitusers.org/index.php?title=Pseudocolor_rendering_of_nodal_variables_on_quads)

Tom Brunner has a case with dendritic zones where this rendering issue making it hard to debug issues in their code.

He suggested if we had an option, similar to the last option on the page above that used the average value at the nodes for the center point of the triangle that would help.  Did we try the average value, or did we try actually interpolating to select a value for that point?

-Cyrus"
2933,Resolved,VisIt,Bug,Normal,Issue with Silo Files Exported from LibSim,Mark Miller,"",2.13.1,Cyrus Harrison,10/10/2017,"",0,"",10/10/2017 06:28 pm,03/01/2018 06:24 pm,3 - Occasional,2 - Minor Irritation,2.12.3,"","",All,Any,"From Andrew Kirby @ University of Wyoming -- Cyrus has access to the files. 


I have found a bug in Visit (2.12.3) with Silo files in a time sequence.
I am attaching two time states with (parallel: 2 files per time step + 1 header--> 6 silo files total).

These are generated using Libsim.

There are two issues (after loading both time states: pseudocolor->rho): 
1.) When you move to the second time step, the surface is not completely rendered. 
     If you hit Reopen and Draw, the surface fully appears.

2.) If you Reopened on the second time step, then go back to the first time step, an error throws:
Pseudocolor: ()
viewer: Tried to access 97 of 97.

These two issues are quite common (particularly the second one) with the Silo extracts from Libsim.
"
2989,Resolved,VisIt,Bug,Normal,build_visit osx thousands of lines of output when installing qt,Kevin Griffin,"",2.13.1,Cyrus Harrison,12/08/2017,"",100,"",12/08/2017 04:51 pm,01/19/2018 03:26 pm,3 - Occasional,2 - Minor Irritation,2.13.0,"","",All,Any,"Debugging some build_visit issues, I noticed the build visit log entries related to qt seem to have grown quite a bit.

Not sure if there are options that can tamp this down, but it creating huge build visit log files. 

One a pattern of output i am seeing --  huge tables of symbols for each installed lib are printed, here is an example:


install -m 755 -p ../../lib/QtNetwork.framework/Versions/5/QtNetwork /Users/harrison37/Work/masonry/build-mb-2.13.rc-darwin-10.11-x86_64/thirdparty_shared/visit/qt/5.6.1/darwin-x86_64/lib/QtNetwork.framework/Versions/5/QtNetwork
strip /Users/harrison37/Work/masonry/build-mb-2.13.rc-darwin-10.11-x86_64/thirdparty_shared/visit/qt/5.6.1/darwin-x86_64/lib/QtNetwork.framework/Versions/5/QtNetwork
/Applications/Xcode.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/strip: symbols referenced by indirect symbol table entries that can't be stripped in: /Users/harrison37/Work/masonry/build-mb-2.13.rc-darwin-10.11-x86_64/thirdparty_shared/visit/qt/5.6.1/darwin-x86_64/lib/QtNetwork.framework/Versions/5/QtNetwork
__Z11qUncompressPKhi
__Z14qAddPreRoutinePFvvE
__Z14qDecodeDataUrlRK4QUrlR7QStringR10QByteArray
__Z14qt_safe_selectiP6fd_setS0_S0_PK8timespec
__Z15qAddPostRoutinePFvvE
__Z15qIsEffectiveTLDRK7QString
__Z15qt_error_stringi
__Z21qDeleteInEventHandlerP7QObject
__Z23qt_qFindChildren_helperPK7QObjectRK7QStringRK11QMetaObjectP5QListIPvE6QFlagsIN2Qt15FindChildOptionEE
__Z24qt_subtract_from_timeoutii
__Z5qHashRK10QByteArrayj
__Z5qHashRK7QStringj
__Z5qrandv
__Z6qsrandj
__Z7qgetenvPKc
__Z7qstrcmpRK10QByteArrayPKc
__Z7qstrcmpRK10QByteArrayS1_
__Z8qstricmpPKcS0_
__Z8qstrncpyPcPKcj
__Z9qCompressPKhii
__Z9qHashBitsPKvmj
__ZN10QArrayData10deallocateEPS_mm
__ZN10QArrayData8allocateEmmm6QFlagsINS_16AllocationOptionEE
__ZN10QByteArray10fromBase64ERKS_
__ZN10QByteArray10fromCFDataEPK8__CFData
__ZN10QByteArray11fromRawDataEPKci
__ZN10QByteArray11reallocDataEj6QFlagsIN10QArrayData16AllocationOptionEE
__ZN10QByteArray4chopEi
__ZN10QByteArray5clearEv
__ZN10QByteArray6appendEPKc
__ZN10QByteArray6appendEPKci
__ZN10QByteArray6appendERKS_
__ZN10QByteArray6appendEc
__ZN10QByteArray6expandEi
__ZN10QByteArray6insertEic
__ZN10QByteArray6numberEii
__ZN10QByteArray6numberEji
__ZN10QByteArray6numberExi
__ZN10QByteArray6numberEyi
__ZN10QByteArray6removeEii
__ZN10QByteArray6resizeEi
__ZN10QByteArray7fromHexERKS_
__ZN10QByteArray7prependERKS_
__ZN10QByteArray7prependEc
__ZN10QByteArray8truncateEi
__ZN10QByteArrayC1EPKci
__ZN10QByteArrayC1EiN2Qt14InitializationE
__ZN10QByteArrayC1Eic
__ZN10QByteArrayaSEPKc
__ZN10QByteArrayaSERKS_
__ZN10QEventLoop4execE6QFlagsINS_17ProcessEventsFlagEE
__ZN10QEventLoopC1EP7QObject
__ZN10QEventLoopD1Ev
__ZN11QBasicTimer4stopEv
__ZN11QBasicTimer5startEiP7QObject
__ZN11QDataStream11readRawDataEPci
__ZN11QDataStream11resetStatusEv
__ZN11QDataStream11skipRawDataEi
__ZN11QDataStream12setByteOrderENS_9ByteOrderE
__ZN11QDataStream12writeRawDataEPKci
__ZN11QDataStream9setStatusENS_6StatusE
__ZN11QDataStreamC1EP10QByteArray6QFlagsIN9QIODevice12OpenModeFlagEE
__ZN11QDataStreamC1EP9QIODevice
__ZN11QDataStreamC1ERK10QByteArray
__ZN11QDataStreamD1Ev
__ZN11QDataStreamlsEa
__ZN11QDataStreamlsEb
__ZN11QDataStreamlsEi
__ZN11QDataStreamlsEs
__ZN11QDataStreamlsEx
__ZN11QDataStreamrsERa
__ZN11QDataStreamrsERb
__ZN11QDataStreamrsERi
__ZN11QDataStreamrsERs
__ZN11QFileDevice3mapExxNS_14MemoryMapFlagsE
.... and many more!"
2990,Resolved,VisIt,Bug,Normal,make install framework symlink issue with qwt,Kevin Griffin,"",2.13.1,Cyrus Harrison,12/08/2017,"",100,"",12/08/2017 05:49 pm,01/04/2018 04:20 pm,3 - Occasional,2 - Minor Irritation,2.13.0,"","",OSX,Any,"We have seen this off and on, it would be good to get to the bottom of what creates these bad symlinks, or some how harden our cmake use to ignore them. 

-- Installing: /Users/harrison37/Work/masonry/build-mb-2.13.rc-darwin-10.11-x86_64/install.debug/2.13.1/darwin-x86_64/include/qwt/Headers
CMake Error at cmake_install.cmake:1505 (file):
file INSTALL cannot duplicate symlink
""/Users/harrison37/Work/masonry/build-mb-2.13.rc-darwin-10.11-x86_64/thirdparty_shared/visit/qwt/6.1.2/darwin-x86_64/lib/qwt.framework/Headers""
at
""/Users/harrison37/Work/masonry/build-mb-2.13.rc-darwin-10.11-x86_64/install.debug/2.13.1/darwin-x86_64/include/qwt/Headers""."
3028,Resolved,VisIt,Feature,Normal,update to conduit 0.3.1 and update blueprint plugin,Cyrus Harrison,"",2.13.1,Cyrus Harrison,02/27/2018,"",0,"",02/27/2018 07:06 pm,03/28/2018 01:58 pm,"","",2.12.3,3 - Medium,3 - Occasional,All,Any,"we are using a specific conduit commit -- we should update to use conduit 0.3.1 and also update the blueprint plugin to support files other than HDF5 (JSON, etc)
"
3047,Resolved,VisIt,Bug,Normal,Uintah requires lapack,Allen Sanderson,"",2.13.1,Cyrus Harrison,03/15/2018,"",0,"",03/15/2018 03:17 pm,03/20/2018 11:31 am,3 - Occasional,2 - Minor Irritation,2.12.3,"","",All,Any,"From Joe Hennessey (ARL)

    Hello,
    
    I have noticed that there is now a requirement for lapack,
    in order to build Uintah with the lastest visit, but lapack
    is not built as part of the visit build script. Can lapack be
    added to the build script with a --lapack flag so that 
    Uintah will build correctly.
    
    Thanks,
    
    Joe
"
3052,Resolved,VisIt,Feature,Normal,provide ubuntu release with built in MPI,Eric Brugger,"",2.13.1,Cyrus Harrison,03/29/2018,"",100,4.0,03/29/2018 12:58 am,04/09/2018 06:41 pm,"","",trunk,3 - Medium,3 - Occasional,Linux,Any,"Request from Salvador Portillo  on the users list for  ubuntu LTS 14 that has mpich built in
"
2646,Resolved,VisIt,Feature,High,categorical option for threshold,Kevin Griffin,"",2.13.0,Cyrus Harrison,07/18/2016,"",100,"",07/18/2016 07:38 pm,03/28/2017 05:02 pm,"","",2.12.1,3 - Medium,3 - Occasional,All,Any,"For field data labeled by integers (0-N-1), add a more natural UI to the threshold operator. 

This is like enumerated scalars, however these values would not be generated by the database plugin, they are created at runtime by an expression, at any part of the pipeline. 

One example is a connected components expression, but we will also custom segmentation expressions (like Timos topological segmentation features) 
"
