#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
1513,Resolved,VisIt,Bug,Normal,silo writer doesn't support internal doubles,Kathleen Biagas,"",2.7,Jeremy Meredith,06/24/2013,"",0,2.0,06/24/2013 01:26 pm,08/12/2013 07:05 pm,2 - Rare,4 - Crash / Wrong Results,2.5.1,"","",All,Any,"I tried exporting a VASP CHGCAR file, with the IndexSelect operator applied, through the Silo writer, and it wrote garbage in the array contents.  Took a look at the code in avtSiloWriter, and it's doing a (float*)arr->GetVoidPointer(0).

I know we changed everything to use doubles internally, so I'd think this would occur quite commonly.  Maybe people are not be using the Silo writer much?  

This happened in 2.5.1 and on the 2.7 beta (trunk)."
1589,Resolved,VisIt,Bug,Normal,full frame correction for vector glyphs appears to be wrong,Jeremy Meredith,"",2.7,Jeremy Meredith,08/22/2013,"",0,"",08/22/2013 02:34 pm,08/22/2013 03:12 pm,2 - Rare,3 - Major Irritation,2.6.3,"","",All,Any,"I made a vector plot of rect2d, set full frame to on, and changed the window size.  

(NOTE: due to a separate bug, you have to redraw the plot after you change the window size!)

Some of the vectors are super-wide, some are too tall, and they're mostly askew.  I see there's code for fixing up the vector glyphs, but I don't think it's working properly."
1591,Resolved,VisIt,Bug,Normal,3D axis scale distorts vectors,Jeremy Meredith,"",2.7,Jeremy Meredith,08/22/2013,"",0,"",08/22/2013 03:03 pm,08/22/2013 03:33 pm,2 - Rare,2 - Minor Irritation,2.6.3,"","",All,Any,"Open rect3d.silo, make a vector plot.
Open the 3D view, and enable axis scaling, setting the values to something like (0.1, 1, 1).
You'll see the vectors are now distorted, squished along with the plot.

We should use the full frame fix for vector glyph distortion (when it's working properly); it should probably work with no modifications here as well."
988,Resolved,VisIt,Bug,Normal,enabling keyframing reliably crashes viewer,Kathleen Biagas,"",2.5,Jeremy Meredith,03/07/2012,"",0,"",03/07/2012 05:31 pm,05/01/2012 07:37 pm,3 - Occasional,4 - Crash / Wrong Results,2.4.0,"","",All,Any,"I noticed this in the 2.4 RC.  If you turn on keyframing, then as soon as you make a plot, the viewer crashes.  Or, alternatively, make a plot then turn on keyframing.

The culprit seems seems to be in QvisTimeQueryOptionsWidget::GetDatabaseNStates.  It appears to assume that if it got a time slider index, the time slider came from a database (correlation).  When you have the Keyframing time slider, this is a bad assumption and it asks the correlation list for a non-existent correlation.  I reverted this function to its old version (prior to Jan 2012) and the crash went away.

Two other notes: first, we're exploring adding other non-database time sliders (namely one for animation time), so any solution shouldn't assume we might have only one other time slider.  Second, I did not explore whether or not this bad assumption occurs other places, but someone more familiar with database correlations and time queries could probably eyeball that without much effort."
856,Resolved,VisIt,Bug,Normal,povray export shouldn't use sprintf for colortables due to locale,Jeremy Meredith,"",2.4,Jeremy Meredith,09/23/2011,"",0,"",09/23/2011 10:39 am,10/25/2011 01:24 pm,3 - Occasional,2 - Minor Irritation,2.3.0,"","",All,Any,"original report follows:
----
Hi,

I'm toying around with the POV-Ray export of VisIt. I noticed that on
my system with a German locale (LANG=de_DE.UTF8) POV-Ray would fail to
parse ""colortables.inc"" because the floats are rendered by VisIt with
a "","" as the decimal point (an ugly German quirk).

The issue lies within avtDatasetFileWriter::WritePOVRayFamily(). Here
the color table gets rendered using sprintf, which takes the locale
into account. A fix would be to use for instance C++' float rendering,
as in the attached patch.
"
797,Resolved,VisIt,Feature,High,"PFLOTRAN new format, time values",Jeremy Meredith,"",2.3.2,Jeremy Meredith,07/27/2011,"",0,"",07/27/2011 11:30 am,09/14/2011 09:49 am,"","","",3 - Medium,4 - Common,All,DOE/SciDAC,"From Peter:
> There is one new problem we are having with visit
> recognizing the time associated with each frame. We changed the way
> PFLOTRAN writes out HDF5 files and now write a separate file for each
> output time. The HDF5View recognizes the times, but visit gives zero so
> at the moment we can't use the time slider etc.

It also sounds like the new and old ways will both be used, so we can't just drop support.

I attached two small files Peter sent.

If there's something we can do about it for 2.3.2, we should, even if there's a more correct fix we need for 2.4."
593,Resolved,VisIt,Bug,High,pick on transformed rectilinear grids doesn't work,Kathleen Biagas,"",2.3,Jeremy Meredith,02/09/2011,"",0,2.0,02/09/2011 03:04 pm,02/24/2011 03:20 pm,3 - Occasional,2 - Minor Irritation,2.0.1,"","",All,Any,"If you open a file with a transformed rectilinear grid, picking on it simply reports that there were no intersections.  

For example, open trunk/data/CHGCAR (it's a sub-format of the VASP reader, but it should choose VASP automatically these days), make a pseudocolor plot, and try zone or node pick, and for the most part it doesn't report any 

I thought I'd made this work before.  If so, I believe it would have been possible to create a pick test case for it, but I don't believe I did.  It would be really smart to add one when we fix this.

If this *didn't* work, then we should probably add support for it, though the priority isn't the same if it's not something that ever worked.
"
474,Resolved,VisIt,Bug,Normal,reopen doesn't work when overwriting some files in-place,Jeremy Meredith,"",2.2.2,Jeremy Meredith,11/11/2010,"",0,"",11/11/2010 02:47 pm,03/30/2011 01:44 pm,3 - Occasional,2 - Minor Irritation,2.0.1,"","",OSX,Any,"In this case, the problem was with PFLOTRAN files on OS X.  I have heard reports of this happening with other files, but have always assumed this type of thing was e.g. on Windows where the file locking behavior is different.  Maybe this is simply a case where PFLOTRAN has a bug that it's not re-reading things or not closing the file on a FreeUpResources?"
379,Resolved,VisIt,Bug,High,"adding ""-o"" or ""-sessionfile"" on the command line for GUI launch fails/crashes regularly",Brad Whitlock,"",2.2.1,Jeremy Meredith,09/03/2010,"",100,"",09/03/2010 03:00 pm,02/24/2011 05:14 am,3 - Occasional,4 - Crash / Wrong Results,2.0.1,"","",All,Any,"This used to be an occasional problem, but now is occurring almost every time I open a file using ""-o"" on the command line.

The symptom varies between:
(1) the file mostly appears to open, but all plots are still grayed out, so acts like it didn't open
(2) I get an error saying ""the file /home/jeremy/PickAttributes doesn't exist"" (or some other state object-related string, maybe a memory error?)
(3) visit immediately crashes
(4) visit starts to work, and then crashes when you try to do anything with a big glibc memory error trace

And occasionally, it works.  Typically, it will work if I'm starting visit from cold start, i.e. no visit libraries cached.  But if I've just launched visit, then try this (so that the total launch takes only a few seconds), it almost always fails.  This would imply a race condition, but the path of how this delayed-open-launch behavior works is hard to debug since I'm not familiar with it.

Note that I don't see a problem with using the CLI, just the GUI.  This is on linux (where I often use ""-o"").

Also, I believe that ""-sessionfile"" seems to cause problems as well.  This might cause problems with movie making!
"
279,Pending,VisIt,Bug,Normal,angle brackets (e.g. in expressions) mess up visit -movie XML parsing,"","","",Jeremy Meredith,07/13/2010,"",0,8.0,07/13/2010 12:05 pm,07/21/2010 01:26 pm,2 - Rare,3 - Major Irritation,2.0.1,"","",All,Any,"I created a conn_cmfe in my expression list which contained our standard chevron / angle bracket / left/right caret variable quoting in its definition, and the existence of these in my session file messed up the parsing inside makemovie.py.  Specifically, it stopped parsing at that point in the .session file, so it never made it to the host launch profile attributes later in the session file.

"
343,Pending,VisIt,Feature,Normal,CreateBonds could allow cell-centered vars when there are no bonds yet,Jeremy Meredith,"","",Jeremy Meredith,08/11/2010,"",0,1.0,08/11/2010 01:44 pm,04/11/2011 06:36 pm,"","","",2 - Low,2 - Rare,All,Any,"e.g. if we can't get inPD->GetScalars, and npts==ncells, then we should try inCD->GetScalars.
"
