#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
999,Resolved,VisIt,Feature,High,Add UNC path support on Windows.,Kathleen Biagas,"",2.13.2,Brad Whitlock,03/21/2012,"",100,"",03/21/2012 01:20 pm,05/22/2018 02:18 pm,"","",2.12.1,4 - High,4 - Common,Windows,Any,"Al Nichols reported that VisIt does not handle UNC-style paths on Windows. A UNC path is apparently a slightly different form of path that helps a Windows computer access files shared on a network. They are of the form: \\server\path\to\file.ext

We must be doing some drive-related funny-business that's making this not work. Perhaps the problem is only browsing the files in the mdserver since we pass down a string for filenames. 

Al wants VisIt to support this style of path in the Windows version of VisIt. "
3016,Resolved,VisIt,Bug,High,Path to visit is incorrect in nersc cori host profile.,Eric Brugger,"",2.13.2,Eric Brugger,02/15/2018,"",100,2.0,02/15/2018 08:19 pm,05/17/2018 06:31 pm,3 - Occasional,3 - Major Irritation,2.13.0,"","",Linux,Any,I went to run visit client server from kickit to cori and used the nersc profiles from the 2.13RC and the path to visit was incorrect. We should also check the edison path as well.
3078,Resolved,VisIt,Bug,Normal,build_visit: issue building hdf5 (and silo) on blueos,Cyrus Harrison,"",2.13.2,Cyrus Harrison,04/30/2018,"",0,"",04/30/2018 02:02 pm,05/22/2018 07:23 pm,3 - Occasional,2 - Minor Irritation,2.13.0,"","",All,Any,"Building HDF5 (~15 minutes)
Unzipping/Untarring hdf5-1.8.14.tar.gz . . .
/nfs/tmp2/cyrush/2018.04.visit.sierra/hdf5-1.8.14/build_serial /nfs/tmp2/cyrush/2018.04.visit.sierra/hdf5-1.8.14
checking for a BSD-compatible install... /usr/bin/install -c
checking whether build environment is sane... yes
checking for a thread-safe mkdir -p... /usr/bin/mkdir -p
checking for gawk... gawk
checking whether make sets $(MAKE)... yes
checking whether make supports nested variables... yes
checking whether make supports nested variables... (cached) yes
checking whether to enable maintainer-specific portions of Makefiles... no
checking build system type... ../bin/config.guess: unable to guess system type

This script, last modified 2008-01-23, has failed to recognize
the operating system you are using. It is advised that you
download the most up to date version of the config scripts from

  http://git.savannah.gnu.org/gitweb/?p=config.git;a=blob_plain;f=config.guess;hb=HEAD
and
  http://git.savannah.gnu.org/gitweb/?p=config.git;a=blob_plain;f=config.sub;hb=HEAD

If the version you run (../bin/config.guess) is already up to date, please
send the following data and any information you think might be
pertinent to <config-patches@gnu.org> in order to provide the needed
information to handle your system.

=======

To fix we need to add something like the following (from the Axom project) to the config line:

ac_cv_build=powerpc64le-unknown-linux-gnu


NOTE: This also undermines silo. 



"
3079,Resolved,VisIt,Bug,Normal,Need to put back the work-around for the HiDPI issue,Kevin Griffin,"",2.13.2,Kevin Griffin,05/01/2018,"",100,"",05/01/2018 04:17 pm,05/15/2018 07:03 pm,3 - Occasional,3 - Major Irritation,2.12.3,"","",OSX,Any,Users on OS X 10.12 are experiencing the HiDPI issue that I initially put in for OS X systems greater than 10.11. I made a change to only apply the work-around to OS X 10.11 due to a user having an issue with the fix on their system. Need to do testing on OS X 10.12 and 10.13 systems.
3080,Resolved,VisIt,Bug,Normal,blueprint plugin succeeding in opening .root (silo) files and then segv'ing the mdserver,Cyrus Harrison,"",2.13.2,Mark Miller,05/01/2018,"",0,"",05/01/2018 08:38 pm,06/12/2018 12:23 pm,4 - Common,5 - Very Serious,2.12.3,"","",All,Any,"This is happening for Jeff Greenough.

Jeff's .root file is a Silo/HDF5 root file for a multi-part Silo file. But, Blueprint plugin is opening the file and and then seg'ving later on in mdserver.

You can re-produce by running the test data producer, multidir, as 
<pre>
./multidir -driver DB_HDF5
</pre>
Then, start VisIt, open multidir_test_data/*.root from within GUI and it will appear to hang as the mdserver cores and restarts a few times.

"
3106,Resolved,VisIt,Bug,Immediate,silo vs blueprint issue,Cyrus Harrison,"",2.13.2,Cyrus Harrison,05/15/2018,"",0,"",05/15/2018 08:00 pm,05/22/2018 07:22 pm,3 - Occasional,5 - Very Serious,2.13.0,"","",All,Any,"bug in exception forwarding logic in blueprint is undermining silo files named "".root""
"
3107,Resolved,VisIt,Bug,Immediate,Blueprint reader is causing open of Silo root files to fail.,Cyrus Harrison,"",2.13.2,Eric Brugger,05/16/2018,"",0,"",05/16/2018 12:44 pm,05/22/2018 07:22 pm,3 - Occasional,5 - Very Serious,2.13.0,"","",All,Any,"Several users at LLNL have reported that when they use 2.13.1 to open a multipart silo ""root"" file with VisIt that VisIt hangs. After some exploration by Mark, he determined that that Blueprint reader was trying to open the file and hanging. This is new to 2.13.1. The work around is to use 2.12.3."
3108,Resolved,VisIt,Bug,Immediate,"Huge memory leaks in GUI adding, deleting, hiding, showing plots",Mark Miller,"",2.13.2,Eric Brugger,05/16/2018,"",0,6.0,05/16/2018 12:51 pm,05/22/2018 07:02 pm,3 - Occasional,5 - Very Serious,2.13.0,"","",All,Any,"Allen Sanderson reported a huge memory leak in the VisIt GUI when he was adding, deleting, hiding and showing plots. He had about 400 variables in his file and the memory jumped by about 100Mb each time such an operation was performed. This could cause the GUI to quickly exceed several Gb."
3146,Resolved,VisIt,Feature,Normal,Handle multi-block curve objects in VisIt internals,Mark Miller,"",2.13.2,Mark Miller,05/22/2018,"",0,4.0,05/22/2018 03:44 pm,06/12/2018 11:53 am,"","",2.12.3,3 - Medium,3 - Occasional,All,Any,"A user defined a curve in a Silo file using multi-block 1D quad meshes but then couldn't plot them as curves.

VisIt has logic to detect 1D quadmeshes and re-interpret them as curves. However, it requires the quadmeshes also be single block.

By removing that logic and allowing a avtCurveMetaData to haven blocks, I've tested this and it works with very minor changes to VisIt internals.

The curve plot behaves strangely when domains are removed in the middle because it winds up connecting the dots across gaps in the curve that would otherwise exist due to domain removal. Removing domains from the ""ends"" of the curve plot works fine.

What should a subset plot of a multi-block curve look like? One idea I had was a banded colored background of the curve plot or a horizontally colored line.

Supporting a multi-block curve object simplifies data producers whose curve data is distributed across multiple MPI ranks.

OTOH, it is very apparent that ""curves"" should not demand as much special handling in Visit as we have for them and we'd be much better off just dealing with them like any other (rectilinear) qualmish except that they are 1D topologically and spatially. If we wound up modifying VisIt everywhere to do that, then this simple fix for curves is not necessary."
870,Resolved,VisIt,Bug,Normal,build_visit: --flags-debug support has atrophied,Kathleen Biagas,"",2.13.1,Cyrus Harrison,10/05/2011,"",100,"",10/05/2011 06:33 pm,03/02/2018 03:39 pm,3 - Occasional,2 - Minor Irritation,2.3.0,"","",All,Any,"When this flag is on:
We do pass '-g' as compiler flag - but for builds of third party libs that use cmake & for VisIt itself, we should use -DCMAKE_BUILD_TYPE=Debug to get all of the proper debug flags.

"
1506,Resolved,VisIt,Bug,Normal,build_visit requires qt information even if not strictly needed,Kathleen Biagas,"",2.13.1,Kathleen Biagas,06/19/2013,"",100,"",06/19/2013 02:05 pm,03/02/2018 03:38 pm,3 - Occasional,2 - Minor Irritation,trunk,"","",All,Any,"I was attempting to update itaps on my machine using build_visit gui. I turned off everything except itaps, but I was still prompted to accept the qt license.  I could only get around this by adding the alt-qt-dir.  Seems like this could be skipped if I request only third-party libs that have no dependence on qt and I am not trying to build visit."
2091,Resolved,VisIt,Bug,Normal,mpicom python module on Windows not building correctly,Kathleen Biagas,"",2.13.1,Kathleen Biagas,12/18/2014,"",100,2.0,12/18/2014 11:54 am,03/07/2018 06:36 pm,3 - Occasional,2 - Minor Irritation,2.8.2,"","",Windows,Any,"It is being linked with MS HPC msmpi.lib.

When I run this simple script:
import sys
sys.path.append(""C:\\path\\to\\visit\\build\\lib\\site-packages"")
import mpicom
print dir(mpicom)

this is what prints:
['__builtins__', '__doc__', '__file__', '__name__', '__package__', '__path__', '
mpistub']"
2225,Resolved,VisIt,Bug,Normal,Python filters failing on Windows,Kathleen Biagas,"",2.13.1,Kathleen Biagas,04/13/2015,"",100,4.0,04/13/2015 12:40 pm,03/08/2018 07:26 pm,3 - Occasional,4 - Crash / Wrong Results,2.8.2,"","",Windows 8,Any,"Reported by Allen Harvey.
 avtPythonExpression::Execute Error - Error unwraping vtkDataSet result

when attempting to use a custom vector expression.

He reports it still works on Linux, but started failing on Windows 'several versions ago'.
"
2269,Resolved,VisIt,Bug,Normal,VisIt hangs if user-set VISITSSH does not point to executable,Kathleen Biagas,"",2.13.1,Kathleen Biagas,05/13/2015,"",100,1.0,05/13/2015 04:43 pm,11/21/2017 04:57 pm,3 - Occasional,2 - Minor Irritation,2.8.2,"","",Windows,Any,"To whom it may concern,
May I suggest: if the Windows environment variable VISITSSH is defined without an executable, that VisIt give a warning or error, rather than simply trying to connect forever?
When I defined VISITSSH, I forgot to include ""plink.exe"" after the directory location. When I attempted to connect to the remote host, VisIt would just sit there with the ""metadata server launch progress"" dialog, with its marching radio buttons, showing the message ""VisIt is waiting for a metadata server to launch on...""
Thanks,
Keith
"
2505,Resolved,VisIt,Bug,Normal,Thresholding scatter plots from curve data (from csv file),Kevin Griffin,"",2.13.1,Jim Eliot,01/11/2016,"",100,"",01/11/2016 04:23 am,02/13/2018 12:59 pm,3 - Occasional,4 - Crash / Wrong Results,2.10.0,"","",All,Any,"When using the threshold operator with a scatter plot created from curve data (from a csv file), using the 'Zones from input' option gives weird results.

Here is how I can reproduce the issue:

- The source data is a csv file with three columns that correspond to x_coordinate, y_coordinate and a value.
- I open the csv file using the Plaintext reader. I DO NOT use the option to specify columns 0 and 1 as the x and y coordinates.
- I then create an expression called 'unnamed1' with Definition 'var02'. This will be used for thresholding.
- I create a scatter plot using var00 and var01 as x and y, and var02 as the Color Variable.
- I then apply a threshold operator using the scalar 'unnamed1'.
- When applying the threshold operator, there is an option to output mesh as 'Zones from input' or 'Point mesh'.
  - When using the 'Zones from input' option, the threshold operator outputs weird results.
  - Changing the output to 'Point mesh' gives expected results.

When opening the file, if I use the options of the Plaintext reader to specify that columns 0 and 1 are the x and y coordinates, VisIt creates a point mesh and the thresholding works fine with both threshold output options ('Zones from input' or 'Point mesh').

- I have created a simple .csv file and .session file that reproduces the issue.
- The .session file contains two plots, one that thresholds using 'Zones from input' the other using 'Point mesh'.
- The thresholded plots are different


Having to tick the 'Point Mesh' button in the threshold dialog is not a big deal, but I have encountered some plots where the incorrect method has been used without realising that the output was wrong."
