#,Status,Project,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
2629,Resolved,VisIt,Bug,Normal,FindVisItQt5.cmake with Darwin,Kevin Griffin,"",2.13.0,Allen Sanderson,06/07/2016,"",100,"",06/07/2016 05:55 pm,05/17/2017 06:33 pm,5 - Always,3 - Major Irritation,trunk,"","",All,Any,"With Darwin this call fails:

      THIRD_PARTY_INSTALL_LIBRARY(${qtlib_location})

because the libraries do not have an extension (.a .la).

For Qt5 on Darwin - the libraries are frameworks now. But we are still treating them as if they were a dylib. For now I have added a hack in FindVisItQt5.cmake for Darwin

      if (APPLE)
          string(CONCAT qtlib_location ${qtlib_location} "".la"")                 
      endif()      

to add a dummy extension. This seems to get past the problem BUT we need to treat Qt5 on darwin as a framework rather than libraries. This comment also applies to FindQwt.cmake"
2491,Resolved,VisIt,Bug,Normal,Upgrade to Python 2.7.11,Kathleen Biagas,"",2.11.0,Allen Sanderson,12/29/2015,"",100,"",12/29/2015 05:50 pm,06/28/2016 03:38 pm,3 - Occasional,2 - Minor Irritation,trunk,"","",All,Any,I am suggesting we upgrade to Python 2.7.11. I found that on OS X 10.11 that python's internal struct did not build correctly. I used 2.7.11 and it built fine.
2023,Resolved,VisIt,Bug,High,The makemoviemain script could not locate the makemovie script!,Eric Brugger,"",2.8.2,Allen Sanderson,10/20/2014,"",0,"",10/20/2014 01:50 pm,11/25/2014 11:51 am,5 - Always,3 - Major Irritation,2.8.0,"","",All,Any,"When making movies from the command line VisIt fails:

The makemoviemain script could not locate the makemovie script!

To reproduce the bug make a movie like using this command:

visit  -movie -start 0 -end 2 -frame 0 -geometry 1024x1280 -format tiff -output movie -sessionfile test.session"
1521,Resolved,VisIt,Bug,Normal,Switching active source does not fully update the variable list,Kathleen Biagas,"",2.7,Allen Sanderson,06/28/2013,"",0,4.0,06/28/2013 12:19 pm,07/03/2013 02:46 pm,4 - Common,3 - Major Irritation,trunk,"","",All,Any,"If two databases are loaded when switching from the second back to the first it is not possible to create a plot. The viewer menus get updated with the correct variable list but under the hood VisIt retains the other database's variable list. Thus if the variable names are different between two databases those that are different are not accessible.

Open this file:

data/visit_dist_data/ucd3d.silo

Open this file:

data/visit_dist_data/multi_ucd3d.silo

Create a simple pseducolor plot of this variable: vec_magnitude

Now set the active source to

data/visit_dist_data/ucd3d.silo

Create a simple pseducolor plot of this variable: vel_magnitude

While the viewer menus are updated VisIt still seems to think the other database is active and gives:

An invalid variable (vel_magnitude) was specified.


So somewhere the database information is not being fully updated.
"
360,Resolved,VisIt,Feature,Normal,New windows need to inherit opened databases,Brad Whitlock,"",2.2,Allen Sanderson,08/25/2010,"",0,"",08/25/2010 01:00 pm,01/14/2011 04:18 am,"","","",3 - Medium,4 - Common,All,Any,"When opening a new window the user needs to be given the option of inheriting the ""Selected Files"" from the current window. The current default is that the window does not have any open databases which is annoying. This option would allow the window to inherit the open databases without having to ""Clone"" the window and then delete the plots which is the current work around.
"
2024,Pending,VisIt,Bug,Normal,command line engine args creates extra (bad) args,"","",3.0,Allen Sanderson,10/20/2014,"",0,"",10/20/2014 01:53 pm,06/30/2015 07:15 pm,3 - Occasional,3 - Major Irritation,2.7.3,"","",All,Any,"There is a long standing bug if one sends -np on the command line for engine it gets parsed but then adds a bunch of other engine args including defaulting to mpirun when it should use what is in the session file.

BAD:  -engineargs -l;mpirun;-np;64;-nn;8;-b;smithp-ash-cs -launchengine localhost  <<< SHOULD NOT BE mpirun but qsub/mpirun

Running: cli2.8.1 -start 0 -end 2 -frame 0 -geometry 1024x1280 -format tiff -output movie -sessionfile ../BSFO2.session -nowin -s /uufs/ash.peaks/sys/pkg/VisIt/Install/gcc/2.8.1/linux-x86_64/bin/makemoviemain.py -engineargs -l;mpirun;-np;64;-nn;8;-b;smithp-ash-cs -launchengine localhost

GOOD: -engineargs -b;smithp-ash-cs

Running: cli2.8.1 -start 0 -end 2 -frame 0 -geometry 1024x1280 -format tiff -output movie -sessionfile ../BSFO2.session -nowin -s /uufs/ash.peaks/sys/pkg/VisIt/Install/gcc/2.8.1/linux-x86_64/bin/makemoviemain.py -engineargs -b;smithp-ash-cs

If I add a -l qsub/mpirun when the script works 

Running: cli2.8.1 -start 0 -end 2 -frame 0 -geometry 1024x1280 -format tiff -output movie -sessionfile ../BSFO2.session -nowin -s /uufs/ash.peaks/sys/pkg/VisIt/Install/gcc/2.8.1/linux-x86_64/bin/makemoviemain.py -engineargs -l;qsub/mpirun;-np;64;-nn;8;-b;smithp-ash-cs -launchengine localhost"
2720,Pending,VisIt,Bug,High,Colormap legend is not correct for current plot and sometimes for original data,Kathleen Biagas,"",2.13.3,Allen Sanderson,11/23/2016,"",0,"",11/23/2016 11:59 am,05/10/2018 08:36 pm,3 - Occasional,4 - Crash / Wrong Results,trunk,"","",All,Any,"I have a two level data set. Here are the result of min/max from the query.

Original Data:
sigmaT4/0 -- Min = 0 (zone 0 in patch level0, patch0 at coord <7.2352, -0.274519, -0.259955>)
sigmaT4/0 -- Max = 156318 (zone 1523 in patch level1, patch2553 at coord <28.0883, 14.4809, 2.79451>)

Current Plot L0 only
sigmaT4/0 -- Min = 0 (zone 0 in patch level0, patch0 at coord <7.2352, -0.274519, -0.259955>)
sigmaT4/0 -- Max = 37428 (zone 196 in patch level0, patch0 at coord <7.7648, 0.274519, 0.259955>)

Current Plot L1 only
sigmaT4/0 -- Min = 233.22 (zone 624 in patch level1, patch1981 at coord <23.4543, -0.0686296, 2.14462>)
sigmaT4/0 — Max = 156318 (zone 1523 in patch level1, patch2553 at coord <28.0883, 14.4809, 2.79451>)

Plot 1 contains both L0/L1 and uses the original data the color range is as I would expect: 0-156318
(not shown) 
Plot 1a contains both L0/L1 and uses the current data the color range MAX is NOT as I would expect: 156318 (22160 wrong)

Plot 2 contains L0 and uses the current data the color range MAX is NOT as I would expect: 37428 (22160 wrong)
Plot 3 contains L1 and uses the current data the color range MAX is NOT as I would expect: 156318 (22160 wrong)

The legend MIN for both plot 1a, 2 and 3 are CORRECT 0, 0, and 233.22 respectively.

FWIW I have verified via a simple PS plot of rendering a single field sans any operators and swapping between original and current plot changes the legend. It should not. 


I also saw some other issues when restoring a session. Here the Min/Max in the legend were wrong. I also a similar issue when I did a replace operation. I was not able to even figure out the origin of those values.



"
358,Resolved,VisIt,Bug,Normal,plugin manager database settings not saved,Eric Brugger,"","",Allen Sanderson,08/25/2010,"",0,"",08/25/2010 12:46 pm,12/11/2013 02:30 pm,5 - Always,3 - Major Irritation,2.0.1,"","",OSX,Any,"remove ~/.visit/comnfig

start visit

open plugin manager

all databases are selected. 

deselect all

select the ones I want, add them to the referred list

apply

save

quit visit

restart visit

open plugin manager
the preferred list is correct

all of the databases are selected again
"
359,Pending,VisIt,Bug,Normal,restoring session files get confused on which database to use,"","","",Allen Sanderson,08/25/2010,"",0,"",08/25/2010 12:55 pm,09/22/2010 02:17 pm,3 - Occasional,2 - Minor Irritation,2.0.1,"","",All,Any,"I restore a session file that uses silo reader, works fine. Restore another session file that uses M3DC1 reader. MDS server tries H5Part first which throws HDF5 errors."
362,Developer Review,VisIt,Bug,Normal,pseudocolor plot with 1D rectilinear grids fails,"","","",Allen Sanderson,08/25/2010,"",0,"",08/25/2010 04:57 pm,09/22/2010 01:39 pm,3 - Occasional,2 - Minor Irritation,2.0.1,"","",All,Any,"I have a 1D rectilinear grid of data 100x1x1. I was expecting a line from pseudocolor plot but got nothing. Even asking for rendering of points got nothing. But the legend was correct as was the bounding box.

This mesh renders fine in mesh plot - I see a line.

My guess is that pseudocolor plot is trying to make triangles but there are no triangles to make so it does nothing. It would seem to me that if it can not generate tris then it should try lines. If no lines then points. If no points then an error message saying no geometry.

I can change my data to an unstructured grid and it works. But I really have a rectilinear 1d grid."
